date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,5,56,Sarmiento,Franco Paredes,0.34,-0.92,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,9,16,Central Córdoba (SE),Manuel García,0.02,-0.38,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,10,28,Sarmiento,Lisandro López,-0.51,0.13,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,15,56,Sarmiento,Gabriel Díaz,0.34,0.85,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,31,15,Central Córdoba (SE),Manuel García,-0.23,-0.7,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,33,18,Central Córdoba (SE),Florián Monzón,-0.2,-0.78,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,35,47,Central Córdoba (SE),Dardo Miloc,-0.68,-0.63,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,36,8,Sarmiento,Fernando Godoy,-0.03,0.06,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,38,9,Sarmiento,Diego Calcaterra,0.62,-0.04,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,41,9,Central Córdoba (SE),Enzo Kalinski,-0.59,0.53,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,42,36,Central Córdoba (SE),Florián Monzón,0.25,0.61,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,44,41,Central Córdoba (SE),Dardo Miloc,-0.32,-0.51,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,67,12,Sarmiento,Manuel Mónaco,-0.32,-0.4,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,68,19,Sarmiento,Pablo Pérez,-0.55,0.54,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,68,50,Central Córdoba (SE),Sebastián Valdez,0.46,0.68,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,75,1,Central Córdoba (SE),Walter Montoya,0.5,0.16,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,75,26,Sarmiento,Gabriel Díaz,-0.37,-0.5,-1.0,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,3,59,Central Córdoba (SE),Sebastián Valdez,0.36,0.37,-1.0,Iván Morales,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,6,19,Central Córdoba (SE),Rodrigo Atencio,-0.3,-0.8,-1.0,Franco Paredes,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,12,10,Sarmiento,José Mauri,,,,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,18,27,Sarmiento,Joaquín Gho,0.33,-0.65,-1.0,Santiago Laquidain,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,19,20,Central Córdoba (SE),Sebastián Valdez,0.49,0.74,-1.0,Lisandro López,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,20,59,Sarmiento,Juan Manuel Insaurralde,0.39,0.37,-1.0,Florián Monzón,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,26,13,Sarmiento,Juan Manuel Insaurralde,0.82,0.78,-1.0,Tomás Molina,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,32,28,Central Córdoba (SE),Enzo Kalinski,-0.39,0.39,-1.0,Lisandro López,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,33,12,Sarmiento,Diego Calcaterra,-0.24,-0.7,-1.0,Florián Monzón,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,38,55,Central Córdoba (SE),Dardo Miloc,-0.73,0.3,-1.0,Lisandro López,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,49,52,Central Córdoba (SE),Santiago Laquidain,0.29,0.52,-1.0,Jeremías Vallejos,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,51,55,Central Córdoba (SE),Santiago Laquidain,-0.33,0.62,-1.0,Pablo Pérez,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,53,30,Sarmiento,Facundo Ferreyra,0.43,0.14,-1.0,Dardo Miloc,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,56,0,Sarmiento,Jeremías Vallejos,-0.19,0.66,-1.0,Manuel García,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,60,38,Central Córdoba (SE),Florián Monzón,-0.86,0.38,-1.0,Fernando Godoy,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,61,34,Central Córdoba (SE),Fernando Torrent,0.88,-0.85,-1.0,Sergio Quiroga,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,65,42,Central Córdoba (SE),Manuel García,-0.51,0.66,-1.0,Jeremías Vallejos,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,68,9,Sarmiento,Fernando Godoy,0.2,-0.42,-1.0,Oscar Garrido,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,69,8,Central Córdoba (SE),Rodrigo Atencio,-0.21,0.61,-1.0,Pablo Pérez,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,71,25,Central Córdoba (SE),Juan Andrés Meli,0.33,0.76,-1.0,Jeremías Vallejos,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,81,24,Sarmiento,Pablo Pérez,-0.4,0.85,-1.0,Thiago Nuss,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,81,49,Sarmiento,Fernando Godoy,,,,,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,foul,2,87,44,Sarmiento,Jeremías Vallejos,-0.79,0.84,-1.0,Florián Monzón,,,,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,shot,1,6,50,Sarmiento,Joaquín Gho,-0.7,-0.06,-1.0,,-0.99,-0.08,-1.0,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,shot,1,8,59,Central Córdoba (SE),Tomás Molina,0.74,0.38,-1.0,Fernando Monetti,0.96,0.13,0.2,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,shot,1,15,30,Central Córdoba (SE),Rodrigo Atencio,0.43,-0.26,-1.0,Fernando Godoy,0.61,-0.12,0.58,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,shot,1,21,52,Central Córdoba (SE),Florián Monzón,0.73,-0.45,-1.0,Juan Manuel Insaurralde,0.78,-0.38,0.4,
10-02-2024,21:30,Central Córdoba (SE),Sarmiento,Argentina - Copa LPF 2024,Alfredo Terrera,shot,1,24,12,Central Córdoba (SE),Tomás Molina,0.77,0.04,-1.0,,0.99,-0.04,0.89,
