date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,1,24,Atlético Tucumán,Renzo Tesuri,0.24,-0.12,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,5,42,Atlético Tucumán,Adrián Sánchez,-0.22,0.27,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,8,7,Barracas Central,Siro Rosané,-0.49,0.36,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,13,17,Barracas Central,Rodrigo Herrera,0.09,-0.85,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,13,15,Atlético Tucumán,Néstor Breitenbruch,0.59,-0.27,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,15,26,Atlético Tucumán,Néstor Breitenbruch,0.48,-0.19,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,21,9,Atlético Tucumán,Néstor Breitenbruch,0.66,0.72,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,29,3,Barracas Central,Nicolás Capraro,-0.49,0.26,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,37,1,Atlético Tucumán,Néstor Breitenbruch,0.32,0.33,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,45,34,Atlético Tucumán,Néstor Breitenbruch,-0.03,-0.07,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,47,58,Barracas Central,Maximiliano Zalazar,0.06,-0.54,-1.0,,,,,
11-02-2024,21:00,Barracas Central,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,55,8,Barracas Central,Nicolás Capraro,0.4,0.31,-1.0,,,,,
