date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,0,36,Dep. Riestra,Milton Céliz,0.38,0.78,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,0,12,River Plate,Enzo Díaz,0.61,0.5,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,1,39,River Plate,Esequiel Barco,0.46,0.87,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,5,46,Dep. Riestra,Joaquín Borja,-0.47,-0.21,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,6,22,Dep. Riestra,Jonatan Goitía,-0.51,0.71,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,5,58,River Plate,Paulo Díaz,0.66,0.6,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,7,49,Dep. Riestra,Nicolás Dematei,-0.7,-0.58,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,7,44,River Plate,Facundo Colidio,-0.65,0.5,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,7,52,River Plate,Esequiel Barco,-0.33,0.12,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,11,6,Dep. Riestra,Joaquín Borja,-0.51,0.15,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,12,4,Dep. Riestra,Jonatan Goitía,0.42,0.48,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,13,13,River Plate,Enzo Díaz,-0.04,0.47,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,16,11,Dep. Riestra,Nicolás Dematei,-0.48,-0.51,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,16,22,River Plate,Paulo Díaz,0.57,0.27,-1.0,,,,,
11-02-2024,17:00,Dep. Riestra,River Plate,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,23,35,River Plate,Paulo Díaz,0.33,0.33,-1.0,,,,,
