date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,1,21,Platense,Raúl Lozano,-0.06,-0.2,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,6,16,Lanús,Agustín Rodríguez,0.28,0.64,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,12,10,Lanús,Julio César Soler,-0.67,-0.69,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,25,10,Lanús,Julio César Soler,-0.47,-0.67,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,36,5,Lanús,Braian Aguirre,-0.68,0.69,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,37,21,Lanús,Felipe Peña Biafore,-0.06,-0.1,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,38,47,Lanús,Felipe Peña Biafore,-0.16,0.4,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,42,28,Lanús,Raúl Loaiza,0.16,-0.12,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,42,4,Platense,Iván Gómez,0.17,0.54,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,42,32,Lanús,Julio César Soler,0.08,-0.52,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,46,25,Lanús,Julio César Soler,-0.55,-0.48,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,49,59,Lanús,Marcelino Moreno,0.07,-0.18,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,49,57,Platense,Braian Rivero,0.25,-0.13,-1.0,,,,,
11-02-2024,19:00,Lanús,Platense,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,48,6,Lanús,Felipe Peña Biafore,0.53,-0.21,-1.0,,,,,
