date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,0,46,Talleres,Juan Camilo Portilla,-0.1,-0.6,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,1,7,Talleres,Juan Camilo Portilla,0.28,-0.9,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,3,41,Talleres,Lucas Suárez,0.77,0.78,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,4,59,Talleres,Matías Catalán,0.13,-0.51,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,8,8,Instituto,Roberto Bochi,-0.16,-0.45,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,9,56,Instituto,Gastón Lodico,-0.33,0.08,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,20,47,Instituto,Juan José Franco,-0.72,0.74,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,22,4,Instituto,Roberto Bochi,0.22,0.58,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,24,34,Instituto,Jonathan Bay,-0.37,-0.79,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,26,17,Talleres,Ramón Sosa,0.62,0.72,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,45,50,Instituto,Jonathan Bay,0.02,-0.61,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,46,45,Instituto,Fernando Alarcón,-0.2,0.77,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,46,47,Instituto,Gastón Lodico,0.04,0.84,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,57,57,Talleres,Juan Carlos Portillo,-0.08,0.61,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,69,36,Talleres,Lucas Suárez,0.19,-0.79,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,81,36,Talleres,Alejandro Martínez,-0.06,0.85,-1.0,,,,,
12-02-2024,19:00,Instituto,Talleres,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,85,54,Talleres,Rubén Botta,0.85,0.42,-1.0,,,,,
