date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,3,37,Racing Club,Bruno Zuculini,-0.19,-0.55,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,5,36,Racing Club,Bruno Zuculini,-0.32,-0.7,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,6,54,Newell`s,Rodrigo Fernández,-0.2,-0.33,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,13,39,Racing Club,Santiago Sosa,0.53,0.24,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,13,29,Newell`s,Rodrigo Fernández,-0.04,0.0,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,14,39,Newell`s,Ángelo Martino,-0.71,-0.24,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,22,44,Newell`s,Rodrigo Fernández,-0.48,-0.42,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,23,25,Newell`s,Guillermo May,0.23,0.23,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,24,46,Newell`s,Víctor Velázquez,-0.75,0.07,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,27,34,Racing Club,Bruno Zuculini,0.08,0.23,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,34,17,Newell`s,Armando Méndez,0.09,-0.1,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,35,38,Newell`s,Ever Banega,0.29,0.2,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,35,50,Newell`s,Ángelo Martino,-0.06,0.21,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,36,42,Newell`s,Víctor Velázquez,-0.74,0.0,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,37,6,Newell`s,Brian Aguirre,0.16,-0.37,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,38,54,Racing Club,Santiago Sosa,0.69,-0.64,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,42,21,Racing Club,Bruno Zuculini,0.39,-0.36,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,48,26,Racing Club,Agustín García Basso,-0.25,-0.78,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,49,22,Newell`s,Ever Banega,-0.37,-0.07,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,50,3,Newell`s,Guillermo May,-0.33,-0.21,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,51,39,Racing Club,Leonel Miranda,-0.36,0.26,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,51,26,Newell`s,Ian Glavinovich,0.18,-0.29,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,67,14,Newell`s,Víctor Velázquez,0.19,-0.6,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,83,27,Racing Club,Agustín Almendra,-0.14,-0.28,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,84,2,Newell`s,Víctor Velázquez,0.16,-0.26,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,86,16,Racing Club,Agustín Urzi,-0.11,-0.08,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,87,53,Newell`s,Víctor Velázquez,0.27,-0.46,-1.0,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,0,46,Newell`s,Ever Banega,-0.3,-0.58,-1.0,Maximiliano Salas,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,1,45,Newell`s,Víctor Velázquez,-0.4,0.63,-1.0,Maximiliano Salas,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,16,12,Racing Club,Adrián Martínez,-0.43,0.26,-1.0,Ian Glavinovich,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,20,5,Newell`s,Armando Méndez,0.2,0.74,-1.0,Gabriel Rojas,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,28,0,Newell`s,Ian Glavinovich,,,,,,,,
12-02-2024,21:00,Newell`s,Racing Club,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,30,32,Racing Club,Gabriel Rojas,0.79,0.84,-1.0,Armando Méndez,,,,
