date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,1,55,Gimnasia,Rodrigo Saravia,-0.43,0.27,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,1,5,Huracán,Leandro Garate,-0.15,0.17,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,1,48,Huracán,Williams Alarcón,-0.18,0.15,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,2,34,Huracán,Hernán De La Fuente,0.55,-0.27,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,6,2,Gimnasia,Pablo De Blasis,-0.28,-0.55,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,6,34,Gimnasia,Pablo De Blasis,-0.34,-0.47,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,6,38,Huracán,Fabio Pereyra,0.75,0.04,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,7,5,Huracán,Guillermo Benítez,-0.38,0.52,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,9,14,Gimnasia,Matías Abaldo,-0.3,0.55,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,21,11,Huracán,Franco Alfonso,0.47,-0.12,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,25,37,Gimnasia,Benjamín Domínguez,0.26,-0.53,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,26,37,Gimnasia,Rodrigo Saravia,0.14,0.33,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,26,48,Gimnasia,Pablo De Blasis,-0.01,-0.46,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,28,54,Gimnasia,Federico Milo,0.37,-0.18,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,32,46,Huracán,Franco Alfonso,0.29,0.59,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,36,21,Gimnasia,Pablo De Blasis,-0.45,0.01,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,39,19,Gimnasia,Benjamín Domínguez,0.36,-0.75,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,43,37,Gimnasia,Jonathan  Cabral,-0.15,-0.35,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,45,51,Gimnasia,Benjamín Domínguez,-0.14,-0.7,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,47,52,Gimnasia,Juan Pintado,-0.19,0.55,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,45,12,Huracán,Hernán De La Fuente,0.18,0.67,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,51,54,Gimnasia,Jonathan  Cabral,0.08,0.77,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,52,23,Gimnasia,Juan Pintado,-0.82,-0.75,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,53,24,Gimnasia,Matías Abaldo,-0.18,-0.84,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,54,31,Huracán,Héctor Fértoli,0.16,0.25,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,56,20,Gimnasia,Ivo Mammini,-0.28,-0.76,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,61,11,Gimnasia,Rodrigo Saravia,0.26,0.59,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,62,52,Gimnasia,Federico Milo,0.49,0.84,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,67,23,Gimnasia,Federico Milo,0.67,0.77,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,67,59,Huracán,Guillermo Burdisso,-0.36,0.38,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,87,37,Huracán,Hernán De La Fuente,-0.35,0.13,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,88,6,Huracán,Guillermo Burdisso,0.02,0.42,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,88,32,Huracán,Sebastián Ramírez,0.59,-0.1,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,90,36,Huracán,Guillermo Burdisso,-0.44,0.27,-1.0,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,9,23,Huracán,Franco Alfonso,,,,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,14,27,Huracán,Guillermo Benítez,0.24,0.71,-1.0,Matías Abaldo,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,17,59,Huracán,Walter Mazzantti,-0.87,-0.82,-1.0,Federico Milo,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,29,49,Huracán,Rodrigo Echeverría,0.21,-0.61,-1.0,Benjamín Domínguez,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,37,22,Huracán,Guillermo Benítez,-0.65,0.77,-1.0,Matías Abaldo,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,40,53,Huracán,Leandro Garate,-0.54,0.86,-1.0,Juan Pintado,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,43,9,Huracán,Williams Alarcón,0.1,0.45,-1.0,Cristian Colmán,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,44,40,Huracán,Walter Mazzantti,-0.2,-0.61,-1.0,Federico Milo,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,48,10,Huracán,Franco Alfonso,-0.24,0.54,-1.0,Juan Pintado,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,48,42,Gimnasia,Ivo Mammini,-0.27,0.02,-1.0,Williams Alarcón,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,45,28,Gimnasia,Rodrigo Saravia,0.31,-0.8,-1.0,Héctor Fértoli,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,47,39,Gimnasia,Juan Pintado,-0.17,-0.78,-1.0,Héctor Fértoli,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,52,13,Huracán,Franco Alfonso,,,,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,49,27,Huracán,Walter Mazzantti,,,,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,54,48,Gimnasia,Cristian Colmán,-0.42,0.32,-1.0,Guillermo Burdisso,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,56,46,Gimnasia,Rodrigo Saravia,0.1,-0.11,-1.0,Franco Alfonso,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,60,25,Gimnasia,Leonardo Morales,0.31,0.85,-1.0,Walter Mazzantti,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,63,47,Huracán,Walter Mazzantti,0.2,0.42,-1.0,Jonathan  Cabral,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,71,36,Gimnasia,Juan Pintado,0.32,-0.92,-1.0,Héctor Fértoli,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,74,1,Gimnasia,Rodrigo Saravia,-0.09,-0.14,-1.0,Héctor Fértoli,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,74,31,Huracán,Ignacio Pussetto,0.16,0.38,-1.0,Pablo De Blasis,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,75,54,Gimnasia,Juan Pintado,,,,,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,77,1,Huracán,Héctor Fértoli,0.34,-0.46,-1.0,Matías Abaldo,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,83,30,Huracán,Ignacio Pussetto,0.69,0.27,-1.0,Federico Milo,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,45,30,Gimnasia,Leonardo Morales,0.52,-0.28,-1.0,Guillermo Burdisso,,,,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,0,24,Gimnasia,Cristian Colmán,0.72,0.07,-1.0,,0.99,0.14,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,2,51,Gimnasia,Ivo Mammini,0.75,-0.35,-1.0,Fernando Tobio,0.83,-0.22,0.16,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,8,32,Gimnasia,Benjamín Domínguez,0.83,-0.24,-1.0,,0.98,0.22,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,11,17,Gimnasia,Benjamín Domínguez,0.69,-0.58,-1.0,,0.85,0.04,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,11,51,Huracán,Leandro Garate,-0.71,-0.17,-1.0,Leonardo Morales,-0.89,-0.06,0.2,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,12,29,Huracán,Fabio Pereyra,-0.74,0.12,-1.0,,-0.99,-0.23,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,19,53,Huracán,Héctor Fértoli,-0.71,-0.36,-1.0,,-0.98,0.27,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,21,44,Gimnasia,Matías Abaldo,0.69,0.22,-1.0,Rodrigo Echeverría,0.76,0.05,0.1,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,24,17,Gimnasia,Benjamín Domínguez,0.47,-0.19,-1.0,Hernán Galíndez,0.99,0.04,0.12,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,24,50,Gimnasia,Leonardo Morales,0.73,0.05,-1.0,Hernán Galíndez,0.98,-0.02,0.64,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,25,3,Gimnasia,Pablo De Blasis,0.73,0.07,-1.0,,0.99,0.2,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,25,52,Gimnasia,Benjamín Domínguez,0.69,-0.39,-1.0,,0.99,0.21,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,27,49,Gimnasia,Ivo Mammini,0.71,-0.2,-1.0,,0.99,0.36,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,29,12,Gimnasia,Benjamín Domínguez,0.43,-0.25,-1.0,Hernán Galíndez,0.98,-0.02,0.59,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,33,59,Huracán,Walter Mazzantti,-0.72,0.14,-1.0,,-0.98,-0.02,0.1,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,38,51,Huracán,Franco Alfonso,-0.45,-0.25,-1.0,,-0.98,0.23,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,41,39,Gimnasia,Ivo Mammini,0.74,0.09,-1.0,Fabio Pereyra,0.82,-0.05,0.6,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,1,46,38,Gimnasia,Cristian Colmán,0.71,0.03,-1.0,,1.0,-0.07,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,49,55,Gimnasia,Jonathan  Cabral,-0.72,0.14,-1.0,,-0.99,-0.31,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,53,38,Gimnasia,Matías Abaldo,-0.67,-0.46,-1.0,Guillermo Benítez,-0.79,-0.26,0.22,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,55,20,Gimnasia,Juan Pintado,-0.39,-0.32,-1.0,,-1.0,0.03,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,61,42,Gimnasia,Benjamín Domínguez,-0.85,0.16,-1.0,,-0.99,-0.02,0.82,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,64,0,Gimnasia,Matías Abaldo,-0.72,-0.06,-1.0,,-0.99,-0.03,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,64,54,Huracán,Agustín Toledo,0.7,0.13,-1.0,Nelson Insfrán,0.99,-0.04,0.14,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,65,37,Gimnasia,Benjamín Domínguez,-0.5,0.49,-1.0,,-0.99,-0.31,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,66,13,Gimnasia,Matías Abaldo,-0.51,-0.19,-1.0,Hernán Galíndez,-0.99,-0.02,0.49,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,68,13,Huracán,Walter Mazzantti,0.73,0.31,-1.0,Jonathan  Cabral,0.79,0.08,0.28,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,69,4,Huracán,Leandro Garate,0.74,-0.06,-1.0,Nelson Insfrán,0.99,-0.07,0.11,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,70,7,Gimnasia,Ivo Mammini,-0.72,-0.08,-1.0,,-0.99,-0.03,0.13,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,78,44,Gimnasia,Matías Abaldo,-0.71,-0.08,-1.0,,-0.99,0.2,-1.0,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,81,23,Gimnasia,Matías Abaldo,-0.57,-0.34,-1.0,Hernán Galíndez,-0.98,-0.05,0.12,
13-02-2024,19:15,Gimnasia,Huracán,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,shot,2,81,37,Huracán,Sebastián Ramírez,0.61,0.55,-1.0,,0.99,0.16,-1.0,
