date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,6,30,Godoy Cruz,Tomás  Pozzo,-0.24,-0.26,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,9,31,Unión,Claudio Corvalán,0.39,0.49,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,21,29,Godoy Cruz,Elías Pereyra,-0.71,-0.54,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,23,26,Unión,Joaquín Mosqueira,0.02,0.5,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,24,1,Unión,Adrián Balboa,-0.21,0.47,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,23,30,Godoy Cruz,Juan Andrada,-0.12,0.03,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,27,54,Godoy Cruz,Vicente Poggi,-0.11,0.03,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,42,17,Unión,Bruno Pittón,0.41,0.52,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,45,37,Godoy Cruz,Vicente Poggi,-0.27,0.47,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,47,19,Unión,Adrián Balboa,-0.02,0.09,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,45,38,Godoy Cruz,Marcos Montiel,-0.06,-0.37,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,52,31,Unión,Adrián Balboa,0.34,0.7,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,54,6,Unión,Mateo Del Blanco,-0.11,-0.85,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,56,49,Unión,Adrián Balboa,-0.12,0.33,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,59,36,Godoy Cruz,Thomas Galdames,0.51,-0.29,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,63,8,Unión,Mauro Pittón,-0.35,0.03,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,66,59,Unión,Joaquín Mosqueira,-0.28,-0.04,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,70,58,Godoy Cruz,Lucas Arce,-0.23,-0.6,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,73,50,Godoy Cruz,Marcos Montiel,-0.03,-0.56,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,88,16,Godoy Cruz,Bruno Leyes,-0.04,-0.48,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,91,18,Unión,Nicolás Orsini,0.33,0.34,-1.0,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,2,30,Godoy Cruz,Braian Salvareschi,-0.61,-0.69,-1.0,Lucas Gamba,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,8,37,Unión,Federico Vera,-0.4,-0.89,-1.0,Elías Pereyra,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,9,0,Unión,Mauro Pittón,-0.41,-0.82,-1.0,Juan Andrada,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,9,47,Unión,Joaquín Mosqueira,0.56,0.37,-1.0,Salomón Rodríguez,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,14,22,Unión,Joaquín Mosqueira,0.44,0.41,-1.0,Juan Bautista Cejas,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,20,59,Godoy Cruz,Marcos Montiel,0.34,-0.61,-1.0,Mauro Pittón,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,33,37,Godoy Cruz,Juan Andrada,-0.16,0.89,-1.0,Adrián Balboa,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,35,49,Godoy Cruz,Juan Andrada,-0.28,0.16,-1.0,Mateo Del Blanco,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,46,44,Unión,Joaquín Mosqueira,-0.1,-0.14,-1.0,Martín Pino,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,50,0,Unión,Mauro Pittón,0.42,0.27,-1.0,Elías Pereyra,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,53,55,Unión,Lucas Gamba,,,,,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,54,44,Godoy Cruz,Elías Pereyra,-0.18,0.71,-1.0,Federico Vera,,,,
13-02-2024,21:30,Godoy Cruz,Unión,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,62,13,Unión,Mateo Del Blanco,0.36,-0.78,-1.0,Vicente Poggi,,,,
