date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,1,6,2,Rosario Central,Maximiliano Lovera,-0.38,-0.73,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,1,11,33,Rosario Central,Ignacio Malcorra,-0.58,-0.67,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,1,15,19,Rosario Central,Emanuel Coronel,0.59,-0.78,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,1,20,34,Independiente,Federico Mancuello,0.31,0.52,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,1,20,29,Rosario Central,Alan Rodríguez,0.48,0.61,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,1,40,35,Rosario Central,Ignacio Malcorra,-0.32,0.0,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,1,40,55,Rosario Central,Kevin Ortiz,0.44,-0.33,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,2,51,24,Independiente,Damián Pérez,0.75,0.73,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,2,51,50,Independiente,Iván Marcone,0.26,0.06,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,2,54,16,Rosario Central,Mauricio Martínez,-0.32,0.58,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,2,67,51,Rosario Central,Mauricio Martínez,-0.71,0.33,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,2,68,55,Rosario Central,Emanuel Coronel,-0.76,0.72,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,2,76,46,Independiente,Ignacio Maestro Puch,-0.26,0.49,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,steal,2,84,25,Rosario Central,Franco Ibarra,-0.01,0.03,-1.0,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,1,1,34,Independiente,Joaquín Laso,0.09,-0.75,-1.0,Tobías Cervera,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,1,8,37,Independiente,Joaquín Laso,0.34,-0.76,-1.0,Tobías Cervera,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,1,15,25,Independiente,Gabriel Ávalos,0.7,-0.73,-1.0,Emanuel Coronel,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,1,23,45,Independiente,Gabriel Neves,0.18,0.79,-1.0,Jaminton Campaz,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,1,35,33,Rosario Central,Maximiliano Lovera,0.19,-0.66,-1.0,Damián Pérez,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,1,41,4,Independiente,Gabriel Ávalos,0.26,-0.38,-1.0,Kevin Ortiz,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,1,43,36,Rosario Central,Ignacio Malcorra,-0.3,0.4,-1.0,Federico Mancuello,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,46,8,Rosario Central,Maximiliano Lovera,0.14,0.57,-1.0,Damián Pérez,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,53,15,Independiente,Damián Pérez,-0.07,0.78,-1.0,Maximiliano Lovera,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,70,9,Rosario Central,Jonatan Gómez,-0.06,0.74,-1.0,Iván Marcone,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,71,15,Rosario Central,Kevin Ortiz,-0.57,-0.51,-1.0,Gabriel Neves,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,74,25,Rosario Central,Tobías Cervera,0.38,-0.56,-1.0,Mauricio Isla,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,80,9,Independiente,David Martínez,-0.37,0.62,-1.0,Mauricio Martínez,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,81,25,Independiente,Ignacio Maestro Puch,-0.51,-0.49,-1.0,Carlos Quintana,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,83,42,Independiente,Joaquín Laso,0.36,0.83,-1.0,Tobías Cervera,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,85,14,Independiente,Diego Tarzia,,,,,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,90,44,Rosario Central,Francesco Lo Celso,-0.19,-0.41,-1.0,David Martínez,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,93,38,Independiente,Iván Marcone,0.1,-0.43,-1.0,Jonatan Gómez,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,foul,2,94,54,Rosario Central,Carlos Quintana,0.87,0.01,-1.0,Rodrigo Rey,,,,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,shot,1,7,1,Independiente,Gabriel Ávalos,0.72,-0.11,-1.0,,0.98,0.14,-1.0,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,shot,1,16,39,Independiente,Alex Luna,0.62,-0.5,-1.0,Facundo Mallo,1.0,0.07,1.02,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,shot,1,20,50,Independiente,Gabriel Neves,0.47,0.04,-1.0,,0.97,0.04,-1.0,
13-02-2024,21:30,Independiente,Rosario Central,Argentina - Copa LPF 2024,Libertadores de América,shot,1,26,0,Rosario Central,Tobías Cervera,-0.7,-0.32,-1.0,,-0.98,0.12,0.18,
