date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,4,54,San Lorenzo,Elián Irala,-0.12,-0.27,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,6,31,Estudiantes,Javier Correa,0.48,-0.56,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,6,33,San Lorenzo,Elián Irala,-0.08,-0.64,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,8,59,Estudiantes,Eric Meza,0.64,0.57,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,10,45,Estudiantes,Eros Mancuso,0.17,-0.61,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,10,34,San Lorenzo,Gastón Hernández,-0.67,-0.34,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,26,51,Estudiantes,Santiago Ascacíbar,0.71,-0.79,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,35,50,Estudiantes,Santiago Ascacíbar,0.25,-0.81,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,35,49,San Lorenzo,Nahuel Barrios,0.33,-0.55,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,41,47,San Lorenzo,Gastón Hernández,-0.71,-0.34,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,42,11,San Lorenzo,Adam Bareiro,-0.32,0.17,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,42,59,San Lorenzo,Malcom Braida,0.05,-0.56,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,45,27,Estudiantes,Santiago Ascacíbar,0.21,0.36,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,45,14,San Lorenzo,Agustín Giay,-0.56,0.15,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,46,33,San Lorenzo,Agustín Giay,0.39,0.3,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,48,25,Estudiantes,Eros Mancuso,0.67,-0.58,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,48,12,San Lorenzo,Tobías Medina,0.41,0.38,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,49,23,Estudiantes,Santiago Flores,0.28,-0.38,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,47,45,San Lorenzo,Agustín Giay,-0.29,-0.65,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,60,36,Estudiantes,José Sosa,-0.22,-0.26,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,61,1,Estudiantes,José Sosa,0.45,-0.01,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,68,32,San Lorenzo,Jhohan Romaña,0.15,-0.61,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,69,34,San Lorenzo,Elián Irala,-0.34,-0.37,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,75,54,San Lorenzo,Jhohan Romaña,-0.21,-0.39,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,79,54,San Lorenzo,Nahuel Barrios,0.23,0.05,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,86,44,Estudiantes,Gastón Benedetti,-0.57,-0.73,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,87,8,San Lorenzo,Gastón Hernández,0.4,-0.15,-1.0,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,0,53,San Lorenzo,Adam Bareiro,-0.33,-0.04,-1.0,Enzo Pérez,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,3,10,San Lorenzo,Nahuel Barrios,0.35,-0.07,-1.0,Santiago Ascacíbar,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,3,59,Estudiantes,Javier Correa,-0.08,0.31,-1.0,Elián Irala,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,5,24,Estudiantes,Enzo Pérez,,,,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,3,26,Estudiantes,Eros Mancuso,0.22,-0.82,-1.0,Malcom Braida,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,17,39,San Lorenzo,Tobías Medina,0.36,0.74,-1.0,Eric Meza,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,18,4,Estudiantes,Mauro Méndez,-0.48,-0.46,-1.0,Malcom Braida,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,19,11,San Lorenzo,Tobías Medina,,,,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,21,26,San Lorenzo,Jhohan Romaña,-0.7,0.88,-1.0,Eric Meza,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,25,8,San Lorenzo,Elián Irala,,,,,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,33,21,Estudiantes,Eric Meza,0.33,0.71,-1.0,Tobías Medina,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,35,17,Estudiantes,Eros Mancuso,-0.23,-0.83,-1.0,Nahuel Barrios,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,39,10,San Lorenzo,Tobías Medina,0.24,0.79,-1.0,Enzo Pérez,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,43,32,Estudiantes,Eros Mancuso,0.7,-0.74,-1.0,Nahuel Barrios,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,48,30,San Lorenzo,Malcom Braida,0.71,-0.75,-1.0,Eros Mancuso,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,49,31,San Lorenzo,Tobías Medina,0.22,-0.1,-1.0,Santiago Flores,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,19,0,Estudiantes,Santiago Ascacíbar,0.06,-0.42,-1.0,Tobías Medina,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,31,37,San Lorenzo,Adam Bareiro,0.77,0.07,-1.0,Matías Mansilla,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,45,13,Estudiantes,Santiago Ascacíbar,-0.37,0.86,-1.0,Malcom Braida,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,50,41,San Lorenzo,Francisco Perruzzi,0.35,0.01,-1.0,José Sosa,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,52,23,San Lorenzo,Nahuel Barrios,-0.69,0.08,-1.0,Federico Fernández,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,59,48,Estudiantes,Eros Mancuso,0.15,0.61,-1.0,Adam Bareiro,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,63,47,San Lorenzo,Adam Bareiro,-0.2,-0.5,-1.0,Fernando Zuqui,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,64,56,Estudiantes,Santiago Flores,0.09,0.75,-1.0,Cristian Tarragona,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,66,18,San Lorenzo,Diego Herazo,-0.48,-0.29,-1.0,Zaid Romero,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,66,52,Estudiantes,Gastón Benedetti,0.35,-0.54,-1.0,Agustín Giay,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,70,52,Estudiantes,Zaid Romero,0.78,0.0,-1.0,Jhohan Romaña,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,71,42,San Lorenzo,Manuel Insaurralde,-0.32,0.49,-1.0,José Sosa,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,75,21,Estudiantes,Tiago Palacios,0.09,-0.64,-1.0,Elián Irala,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,78,10,San Lorenzo,Jhohan Romaña,-0.09,-0.72,-1.0,Tiago Palacios,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,80,41,Estudiantes,Fernando Zuqui,0.23,0.79,-1.0,Nahuel Barrios,,,,
13-02-2024,17:00,San Lorenzo,Estudiantes,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,86,45,San Lorenzo,Elián Irala,-0.46,-0.68,-1.0,Gastón Benedetti,,,,
