date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,2,35,Atlético Tucumán,Adrián Sánchez,0.2,0.46,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,11,53,Atlético Tucumán,Adrián Sánchez,-0.2,0.74,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,12,8,River Plate,Enzo Díaz,0.5,0.78,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,18,17,River Plate,Ignacio Fernández,-0.73,0.28,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,37,41,River Plate,Nicolás Fonseca,-0.49,-0.77,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,41,35,Atlético Tucumán,Renzo Tesuri,-0.5,0.65,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,43,47,River Plate,Nicolás Fonseca,0.14,0.36,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,52,17,River Plate,Sebastián Boselli,-0.23,-0.42,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,55,34,River Plate,Rodrigo Aliendro,0.41,-0.33,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,64,1,River Plate,Rodrigo Aliendro,-0.32,-0.5,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,67,27,Atlético Tucumán,Joaquín Pereyra,0.49,0.77,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,80,39,River Plate,Franco Mastantuono,-0.39,-0.12,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,81,26,River Plate,Agustín Sant'Anna,-0.89,0.73,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,81,37,River Plate,Sebastián Boselli,-0.48,0.4,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,88,18,Atlético Tucumán,Adrián Sánchez,0.84,-0.89,-1.0,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,0,22,River Plate,Sebastián Boselli,0.88,-0.9,-1.0,Joaquín Pereyra,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,3,44,River Plate,Esequiel Barco,-0.35,-0.87,-1.0,Guillermo Acosta,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,8,10,River Plate,Miguel Ángel Borja,0.39,0.91,-1.0,Néstor Breitenbruch,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,12,16,Atlético Tucumán,Adrián Sánchez,0.2,0.38,-1.0,Facundo Colidio,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,13,50,Atlético Tucumán,Nicolás Castro,0.17,-0.66,-1.0,Andrés Herrera,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,15,49,Atlético Tucumán,Nicolás Castro,,,,,,,,
14-02-2024,21:30,Atlético Tucumán,River Plate,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,18,32,Atlético Tucumán,Néstor Breitenbruch,-0.73,0.28,-1.0,Ignacio Fernández,,,,
