date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,5,11,Banfield,,-0.5,-0.67,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,8,30,Barracas Central,Rodrigo Herrera,-0.34,-0.39,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,16,28,Banfield,Ignacio Rodríguez,0.1,-0.82,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,18,52,Banfield,Yvo Calleros,0.08,0.13,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,19,5,Barracas Central,Alan Cantero,-0.15,0.13,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,25,34,Banfield,Jesús Soraire,-0.01,-0.19,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,27,15,Banfield,Jesús Soraire,0.11,0.29,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,27,22,Banfield,Ignacio Rodríguez,0.31,-0.27,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,34,20,Banfield,Jesús Soraire,0.4,-0.24,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,37,46,Barracas Central,Rodrigo Herrera,-0.21,-0.69,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,1,38,43,Barracas Central,Rodrigo Herrera,0.42,-0.01,-1.0,,,,,
14-02-2024,19:15,Banfield,Barracas Central,Argentina - Copa LPF 2024,Florencio Sola,steal,2,45,33,Banfield,Ignacio Rodríguez,0.45,-0.21,-1.0,,,,,
