date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,11,7,Boca Juniors,Luis Adví­ncula,-0.39,0.41,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,14,46,Boca Juniors,Nicolás Figal,-0.54,-0.82,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,14,56,Boca Juniors,Ezequiel Bullaude,-0.3,0.33,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,17,23,Boca Juniors,Cristian Lema,-0.58,-0.85,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,21,23,Boca Juniors,Miguel Ángel Merentiel,0.7,-0.37,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,27,28,Central Córdoba (SE),Santiago Laquidain,0.85,0.69,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,34,22,Boca Juniors,Nicolás Figal,-0.76,0.43,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,36,15,Boca Juniors,Luis Adví­ncula,-0.38,0.44,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,37,11,Boca Juniors,Ezequiel Bullaude,0.09,0.5,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,37,18,Central Córdoba (SE),Florián Monzón,-0.36,-0.7,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,40,15,Boca Juniors,Lautaro Blanco,-0.34,-0.77,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,40,31,Boca Juniors,Guillermo Fernández,-0.4,-0.79,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,41,45,Boca Juniors,Cristian Lema,-0.52,0.38,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,60,20,Boca Juniors,Guillermo Fernández,-0.34,0.64,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,62,11,Boca Juniors,Nicolás Figal,0.38,0.46,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,81,49,Boca Juniors,Cristian Lema,0.36,-0.83,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,83,42,Boca Juniors,Kevin Zenón,0.19,0.69,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,84,35,Boca Juniors,Jabes Saralegui,0.36,-0.08,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,88,52,Boca Juniors,Jorman Campuzano,0.84,0.71,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,89,47,Boca Juniors,Marcelo Saracchi,0.47,0.44,-1.0,,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,1,27,Central Córdoba (SE),Rodrigo Atencio,0.25,0.81,-1.0,Luis Adví­ncula,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,25,55,Boca Juniors,Cristian Lema,0.18,0.62,-1.0,Tomás Molina,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,27,10,Central Córdoba (SE),Rodrigo Atencio,0.32,0.3,-1.0,Lucas Janson,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,29,46,Boca Juniors,Ezequiel Bullaude,0.43,0.62,-1.0,Santiago Laquidain,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,32,40,Central Córdoba (SE),Rodrigo Atencio,-0.34,0.26,-1.0,Jorman Campuzano,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,36,24,Central Córdoba (SE),Manuel García,-0.16,0.32,-1.0,Luis Adví­ncula,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,40,41,Central Córdoba (SE),Florián Monzón,0.11,0.69,-1.0,Luis Adví­ncula,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,43,52,Boca Juniors,Guillermo Fernández,0.17,0.4,-1.0,Santiago Laquidain,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,44,56,Central Córdoba (SE),Oscar Garrido,-0.14,-0.58,-1.0,Miguel Ángel Merentiel,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,48,20,Central Córdoba (SE),Oscar Garrido,-0.29,0.81,-1.0,Ezequiel Bullaude,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,57,5,Central Córdoba (SE),Florián Monzón,0.6,-0.06,-1.0,Guillermo Fernández,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,62,30,Boca Juniors,Ezequiel Bullaude,-0.43,0.87,-1.0,Thiago Nuss,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,64,48,Boca Juniors,Lucas Janson,-0.31,0.42,-1.0,Dardo Miloc,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,75,15,Boca Juniors,Nicolás Figal,0.29,0.23,-1.0,Florián Monzón,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,75,50,Central Córdoba (SE),Mateo Sanabria,0.59,-0.74,-1.0,Luis Adví­ncula,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,78,29,Boca Juniors,Jorman Campuzano,0.44,-0.89,-1.0,Mateo Sanabria,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,80,24,Boca Juniors,Jabes Saralegui,-0.94,-0.5,-1.0,Mateo Sanabria,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,85,30,Central Córdoba (SE),Thiago Nuss,0.32,0.34,-1.0,Marcelo Saracchi,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,86,22,Central Córdoba (SE),Dardo Miloc,-0.1,0.82,-1.0,Kevin Zenón,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,88,5,Boca Juniors,Juan Ramírez,0.33,0.62,-1.0,Walter Montoya,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,89,5,Central Córdoba (SE),Pablo Minissale,0.05,0.87,-1.0,Juan Ramírez,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,foul,2,91,36,Boca Juniors,Marcelo Saracchi,0.39,0.43,-1.0,Florián Monzón,,,,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,shot,1,0,12,Boca Juniors,Lucas Janson,0.97,-0.06,0.36,Andrés Mehring,0.97,-0.06,0.36,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,shot,1,7,5,Boca Juniors,Miguel Ángel Merentiel,0.95,-0.03,-1.0,,0.99,0.02,0.15,
14-02-2024,19:15,Boca Juniors,Central Córdoba (SE),Argentina - Copa LPF 2024,Alberto J. Armando,shot,1,10,33,Central Córdoba (SE),Florián Monzón,-0.75,0.06,-1.0,,-0.99,0.24,-1.0,
