date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,steal,1,4,0,Sarmiento,Sergio Quiroga,-0.78,-0.79,-1.0,,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,steal,1,28,21,Sarmiento,Jeremías Vallejos,-0.59,0.67,-1.0,,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,steal,2,63,16,Lanús,Braian Aguirre,0.37,0.73,-1.0,,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,steal,2,64,22,Sarmiento,Juan Cruz Guasone,0.42,-0.25,-1.0,,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,steal,2,82,36,Sarmiento,David Gallardo,-0.25,-0.79,-1.0,,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,steal,2,88,59,Sarmiento,Alfredo Amarilla,-0.15,0.14,-1.0,,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,foul,1,12,55,Sarmiento,Fernando Godoy,0.29,-0.29,-1.0,Raúl Loaiza,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,foul,1,14,24,Sarmiento,Joaquín Gho,0.46,0.74,-1.0,Julio César Soler,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,foul,1,19,37,Sarmiento,Facundo Ferreyra,0.2,-0.26,-1.0,Ezequiel Muñoz,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,foul,1,24,31,Sarmiento,Facundo Ferreyra,0.12,-0.7,-1.0,Juan José Cáceres,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,foul,1,28,48,Lanús,Abel Luciatti,0.36,-0.33,-1.0,Facundo Ferreyra,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,foul,1,33,39,Sarmiento,Joaquín Gho,0.57,0.78,-1.0,Julio César Soler,,,,
14-02-2024,17:00,Sarmiento,Lanús,Argentina - Copa LPF 2024,El Cobre,foul,1,34,59,Sarmiento,Juan Manuel Insaurralde,-0.33,-0.64,-1.0,Walter Bou,,,,
