date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,3,58,Defensa y Justicia,Nicolás Tripichio,0.04,-0.4,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,8,12,Tigre,Martín Ortega,0.03,0.58,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,15,15,Defensa y Justicia,Luciano Herrera,-0.36,-0.13,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,16,28,Defensa y Justicia,Luciano Herrera,0.24,-0.6,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,25,22,Tigre,Martín Ortega,-0.03,0.71,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,28,22,Tigre,Pablo Adorno,-0.74,-0.53,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,34,19,Tigre,Blas Armoa,0.12,0.62,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,40,20,Tigre,Gonzalo Maroni,-0.35,0.01,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,43,31,Defensa y Justicia,Santiago Ramos Mingo,0.76,0.72,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,43,42,Tigre,Pablo Adorno,-0.72,-0.06,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,45,36,Tigre,Nahuel Génez,0.56,0.73,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,45,59,Tigre,Gonzalo Flores,0.09,-0.64,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,47,0,Tigre,Facundo Giacopuzzi,0.4,-0.47,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,54,2,Tigre,Martín Ortega,0.3,-0.78,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,56,7,Tigre,Gonzalo Flores,-0.24,0.57,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,58,32,Tigre,Martín Ortega,0.64,-0.61,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,58,52,Tigre,Agustín Cardozo,0.47,0.11,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,61,24,Defensa y Justicia,Julián López,-0.48,0.37,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,61,57,Defensa y Justicia,Luciano Herrera,-0.23,0.73,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,62,21,Tigre,Facundo Giacopuzzi,0.34,-0.63,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,63,1,Tigre,Pablo Adorno,0.66,0.3,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,79,0,Tigre,Juan Cruz Esquivel,-0.3,-0.03,-1.0,,,,,
14-02-2024,17:00,Tigre,Defensa y Justicia,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,81,35,Tigre,Agustín Cardozo,0.37,0.42,-1.0,,,,,
