date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,20,48,Dep. Riestra,Jonatan Goitía,0.29,0.82,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,21,40,Dep. Riestra,Milton Céliz,-0.29,-0.28,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,27,28,Dep. Riestra,Jonatan Goitía,0.51,0.86,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,32,41,Dep. Riestra,Mauro Ortiz,-0.08,0.85,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,42,21,Dep. Riestra,Milton Céliz,0.19,-0.61,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,46,38,Dep. Riestra,Milton Céliz,0.09,0.74,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,85,53,Dep. Riestra,William Machado,-0.19,0.59,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,87,34,Dep. Riestra,Maximiliano Rodríguez,-0.18,0.62,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,88,37,Vélez,Tomás Guidara,-0.74,0.84,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,95,7,Vélez,Christian Ordóñez,-0.48,-0.13,-1.0,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,1,3,Vélez,Elías Gómez,0.11,0.73,-1.0,Mauro Ortiz,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,3,26,Dep. Riestra,Milton Céliz,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,5,5,Vélez,Christian Ordóñez,-0.85,-0.83,-1.0,Milton Céliz,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,9,32,Dep. Riestra,Nicolás Dematei,0.59,0.74,-1.0,Braian Romero,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,17,31,Vélez,Elías Gómez,0.61,0.19,-1.0,Jonathan Herrera,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,23,37,Dep. Riestra,Milton Céliz,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,23,59,Dep. Riestra,Milton Céliz,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,24,23,Dep. Riestra,Jonatan Goya,-0.3,-0.19,-1.0,Francisco Pizzini,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,28,54,Dep. Riestra,Milton Céliz,0.36,-0.87,-1.0,Braian Romero,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,47,26,Dep. Riestra,Alan Barrionuevo,-0.15,-0.04,-1.0,Braian Romero,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,45,37,Vélez,Christian Ordóñez,-0.4,-0.24,-1.0,Milton Céliz,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,48,48,Dep. Riestra,Mauro Ortiz,0.44,-0.1,-1.0,Rodrigo Piñeiro,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,56,23,Vélez,Valentín Gómez,-0.46,-0.83,-1.0,Maximiliano Rodríguez,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,60,15,Vélez,Valentín Gómez,-0.24,-0.52,-1.0,Nicolás Benegas,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,61,8,Dep. Riestra,Maximiliano Rodríguez,-0.27,-0.67,-1.0,Claudio Aquino,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,62,35,Dep. Riestra,Jonathan Herrera,-0.4,-0.27,-1.0,Valentín Gómez,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,64,42,Dep. Riestra,Jonatan Goya,0.16,0.55,-1.0,Braian Romero,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,69,19,Dep. Riestra,William Machado,0.88,-0.8,-1.0,Francisco Pizzini,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,77,51,Dep. Riestra,Nicolás Benegas,-0.39,-0.53,-1.0,Elías Gómez,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,82,7,Dep. Riestra,Pedro Ramírez,0.47,-0.72,-1.0,Braian Romero,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,1,52,Dep. Riestra,Milton Céliz,0.7,0.1,-1.0,Emanuel Mammana,0.75,0.07,0.51,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,1,59,Dep. Riestra,Mauro Ortiz,0.73,-0.33,-1.0,,1.0,0.02,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,6,32,Dep. Riestra,Milton Céliz,0.73,-0.12,-1.0,,0.98,-0.06,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,12,31,Vélez,Elías Gómez,-0.7,0.38,-1.0,Pedro Ramírez,-0.78,0.14,0.47,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,19,8,Dep. Riestra,Nicolás Dematei,0.56,0.06,-1.0,Braian Romero,0.64,0.04,0.2,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,22,8,Dep. Riestra,Mauro Ortiz,0.7,0.06,-1.0,,0.99,-0.11,0.32,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,33,40,Dep. Riestra,Nicolás Dematei,0.45,-0.34,-1.0,,0.98,-0.06,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,35,37,Dep. Riestra,Jonatan Goitía,0.45,0.36,-1.0,,0.97,0.06,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,38,32,Vélez,Francisco Pizzini,-0.82,-0.33,-1.0,,-0.99,-0.38,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,41,39,Vélez,Claudio Aquino,-0.67,0.34,-1.0,,-0.99,0.25,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,47,6,Vélez,Rodrigo Piñeiro,0.73,-0.22,-1.0,Ignacio Arce,0.95,-0.01,0.34,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,50,17,Vélez,Claudio Aquino,0.41,-0.07,-1.0,Nahuel Iribarren,0.64,-0.07,0.34,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,68,4,Vélez,Braian Romero,0.77,-0.18,-1.0,,0.98,-0.02,0.47,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,70,20,Vélez,Claudio Aquino,0.85,-0.8,-1.0,,0.99,-0.06,1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,74,57,Vélez,Francisco Pizzini,0.52,0.39,-1.0,Ignacio Arce,0.94,-0.05,0.12,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,78,58,Vélez,Elías Gómez,0.76,0.27,-1.0,Jonathan Herrera,0.95,-0.07,0.73,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,83,44,Vélez,Claudio Aquino,0.45,-0.3,-1.0,,0.97,0.26,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,85,2,Vélez,Claudio Aquino,0.78,-0.47,-1.0,,1.0,-0.21,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,87,11,Dep. Riestra,Maximiliano Rodríguez,-0.74,0.23,-1.0,Tomás Marchiori,-0.81,0.12,0.16,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,89,33,Vélez,Lenny Lobato,0.63,0.4,-1.0,,0.98,-0.39,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,90,22,Vélez,Thiago Vecino,0.81,-0.13,-1.0,Ignacio Arce,0.96,-0.06,0.18,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,90,36,Vélez,Lenny Lobato,0.75,-0.09,-1.0,,0.99,-0.02,0.24,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,92,35,Dep. Riestra,Walter Acuña,-0.61,-0.07,-1.0,,-0.99,0.38,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,94,13,Dep. Riestra,Jonatan Goitía,-0.45,-0.14,-1.0,,-0.99,0.37,-1.0,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,2,26,Vélez,Tomás Marchiori,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,7,15,Vélez,Tomás Marchiori,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,20,39,Vélez,Tomás Marchiori,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,27,11,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,34,15,Vélez,Tomás Marchiori,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,35,50,Vélez,Tomás Marchiori,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,39,8,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,42,3,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,46,47,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,51,1,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,63,56,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,67,15,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,80,14,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,81,22,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,84,12,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,85,22,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,86,58,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,89,39,Dep. Riestra,Ignacio Arce,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,93,13,Vélez,Tomás Marchiori,,,,,,,,
15-02-2024,17:00,Dep. Riestra,Vélez,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,94,38,Vélez,Tomás Marchiori,,,,,,,,
