date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,1,28,Independiente Riv. (M),Bruno Bianchi,-0.52,-0.31,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,7,33,Independiente Riv. (M),Juan Manuel Vázquez,-0.3,0.0,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,10,26,Instituto,Silvio Romero,-0.37,-0.35,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,13,14,Independiente Riv. (M),Gastón Gil Romero,-0.07,-0.55,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,18,28,Instituto,Damián Puebla,0.21,0.62,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,18,46,Independiente Riv. (M),Juan Manuel Vázquez,-0.33,-0.08,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,26,56,Instituto,Damián Puebla,0.16,0.74,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,28,10,Independiente Riv. (M),Antonio Napolitano,-0.49,-0.54,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,35,19,Instituto,Damián Puebla,0.26,0.55,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,43,2,Independiente Riv. (M),Antonio Napolitano,0.76,0.79,-1.0,,,,,
15-02-2024,21:00,Independiente Riv. (M),Instituto,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,46,4,Independiente Riv. (M),Francisco Petrasso,-0.05,0.25,-1.0,,,,,
