date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,1,44,Platense,Sasha Marcich,-0.27,-0.96,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,12,39,Platense,Ignacio Vázquez,-0.1,0.41,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,15,38,Platense,Leonel Picco,0.48,0.28,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,17,53,Belgrano,Bryan Reyna,-0.34,0.27,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,18,28,Platense,Carlos Villalba,-0.06,0.39,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,19,44,Platense,Fernando Juárez,-0.27,-0.6,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,24,52,Belgrano,Nicolás Meriano,0.63,0.43,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,36,21,Platense,Juan Ignacio Saborido,0.49,0.66,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,37,7,Platense,Juan Ignacio Saborido,-0.25,0.71,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,40,33,Platense,Ignacio Vázquez,0.01,0.37,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,41,37,Belgrano,Santiago Longo,0.75,-0.22,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,41,37,Platense,Gabriel Hachen,0.39,-0.57,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,42,40,Platense,Fernando Juárez,0.09,-0.66,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,45,25,Platense,Luciano Ferreyra,-0.23,0.34,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,48,27,Platense,Sasha Marcich,0.76,0.61,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,49,23,Platense,Juan Ignacio Saborido,0.22,-0.33,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,49,32,Platense,Leonel Picco,0.23,-0.74,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,51,13,Platense,Ignacio Vázquez,-0.01,-0.5,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,51,12,Belgrano,Ulises Sánchez,-0.36,0.55,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,51,31,Platense,Gastón Suso,0.79,-0.4,-1.0,,,,,
15-02-2024,19:00,Platense,Belgrano,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,53,55,Belgrano,Ulises Sánchez,-0.31,0.11,-1.0,,,,,
