date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,2,45,Talleres,Juan Carlos Portillo,0.08,-0.6,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,5,13,Talleres,Juan Carlos Portillo,-0.61,-0.8,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,11,59,Talleres,Alex Vigo,-0.23,0.55,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,14,28,Talleres,Juan Carlos Portillo,-0.09,-0.32,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,14,51,Argentinos Juniors,Jonatan Galván,0.39,-0.8,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,17,2,Talleres,Juan Gabriel Rodríguez,-0.21,-0.25,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,18,7,Talleres,Juan Carlos Portillo,0.12,-0.38,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,20,28,Talleres,Miguel Ángel Navarro,-0.03,-0.63,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,20,59,Talleres,Juan Gabriel Rodríguez,-0.21,-0.34,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,31,59,Talleres,Juan Gabriel Rodríguez,0.33,-0.27,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,32,13,Talleres,Juan Camilo Portilla,0.4,0.05,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,34,19,Talleres,Juan Gabriel Rodríguez,-0.62,0.87,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,38,6,Talleres,Juan Camilo Portilla,0.12,0.1,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,41,28,Talleres,Juan Camilo Portilla,0.12,-0.3,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,41,50,Talleres,Juan Camilo Portilla,-0.31,-0.21,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,46,55,Talleres,Miguel Ángel Navarro,-0.48,-0.7,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,46,2,Talleres,Juan Camilo Portilla,-0.21,-0.38,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,53,23,Talleres,Miguel Ángel Navarro,0.71,-0.15,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,55,52,Talleres,Juan Gabriel Rodríguez,,,,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,55,40,Argentinos Juniors,Alan Lescano,-0.39,-0.84,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,58,40,Talleres,Juan Camilo Portilla,0.09,-0.7,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,59,21,Talleres,Juan Gabriel Rodríguez,0.33,0.25,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,59,37,Talleres,Juan Camilo Portilla,-0.1,-0.79,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,62,15,Talleres,Juan Camilo Portilla,-0.19,-0.75,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,64,15,Talleres,Alex Vigo,0.48,-0.12,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,72,31,Talleres,Juan Carlos Portillo,0.07,0.17,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,72,45,Talleres,Juan Carlos Portillo,-0.11,-0.17,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,86,13,Argentinos Juniors,Tobías Palacio,-0.54,-0.44,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,92,17,Talleres,Ramón Sosa,0.09,0.86,-1.0,,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,11,0,Talleres,Miguel Ángel Navarro,0.12,-0.42,-1.0,Gastón Verón,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,17,6,Argentinos Juniors,Ariel Gamarra,0.19,-0.26,-1.0,Juan Gabriel Rodríguez,,,,
15-02-2024,21:30,Talleres,Argentinos Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,25,15,Talleres,Miguel Ángel Navarro,-0.79,-0.46,-1.0,Gastón Verón,,,,
