date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,0,19,Racing Club,Bruno Zuculini,0.05,0.61,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,5,2,Godoy Cruz,Tomás Badaloni,-0.33,-0.08,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,10,38,Godoy Cruz,Federico Rasmussen,0.56,-0.15,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,11,23,Racing Club,Agustín Almendra,0.13,-0.73,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,12,26,Racing Club,Agustín Almendra,-0.46,0.02,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,15,9,Racing Club,Agustín Almendra,0.33,-0.62,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,20,10,Racing Club,Adrián Martínez,0.33,0.02,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,22,48,Godoy Cruz,Tomás Badaloni,-0.02,-0.08,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,25,33,Racing Club,Agustín Almendra,-0.26,-0.75,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,26,25,Racing Club,Bruno Zuculini,0.09,0.06,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,26,25,Godoy Cruz,Federico Rasmussen,0.28,-0.03,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,29,21,Racing Club,Agustín García Basso,-0.39,-0.59,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,29,19,Godoy Cruz,Bruno Leyes,-0.24,-0.2,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,31,2,Racing Club,Tobías Rubio,-0.13,0.7,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,32,8,Godoy Cruz,Bruno Leyes,-0.62,-0.27,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,32,45,Godoy Cruz,Pier Barrios,0.42,-0.33,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,35,22,Racing Club,Santiago Sosa,-0.47,-0.17,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,43,30,Godoy Cruz,Bruno Leyes,0.66,0.08,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,1,46,41,Racing Club,Bruno Zuculini,-0.09,-0.29,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,46,12,Racing Club,Agustín García Basso,-0.04,0.02,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,53,5,Godoy Cruz,Pier Barrios,-0.73,0.06,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,53,40,Racing Club,Tobías Rubio,0.45,-0.55,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,61,18,Racing Club,Bruno Zuculini,0.69,-0.76,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,61,23,Godoy Cruz,Bruno Leyes,-0.23,-0.13,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,71,33,Godoy Cruz,Bruno Leyes,-0.42,-0.46,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,74,1,Godoy Cruz,Bruno Leyes,-0.42,-0.53,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,76,16,Godoy Cruz,Pier Barrios,-0.82,0.0,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,79,59,Racing Club,Leonel Miranda,0.32,0.67,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,85,46,Racing Club,Agustín Urzi,-0.1,-0.36,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,87,55,Godoy Cruz,Nicolás Fernández,0.09,0.14,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,steal,2,90,27,Godoy Cruz,Valentín Burgoa,-0.27,-0.1,-1.0,,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,3,26,Godoy Cruz,Manuel Guillén,0.06,-0.76,-1.0,Gabriel Rojas,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,6,22,Racing Club,Maximiliano Salas,0.17,-0.74,-1.0,Juan Bautista Cejas,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,6,44,Godoy Cruz,Tomás Conechny,-0.45,0.47,-1.0,Santiago Solari,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,14,29,Racing Club,Juan Fernando Quintero,0.27,0.26,-1.0,Bruno Leyes,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,29,32,Godoy Cruz,Marcos Montiel,0.33,-0.85,-1.0,Gabriel Rojas,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,31,49,Godoy Cruz,Manuel Guillén,-0.1,-0.8,-1.0,Agustín Almendra,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,34,34,Racing Club,Maximiliano Salas,0.61,-0.84,-1.0,Pier Barrios,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,38,21,Racing Club,Bruno Zuculini,-0.43,0.41,-1.0,Martín Luciano,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,40,52,Godoy Cruz,Pier Barrios,0.42,0.02,-1.0,Maximiliano Salas,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,1,44,0,Godoy Cruz,Vicente Poggi,0.43,-0.23,-1.0,Santiago Solari,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,45,18,Racing Club,Gabriel Rojas,-0.66,0.85,-1.0,Manuel Guillén,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,53,55,Racing Club,Adrián Martínez,-0.8,-0.21,-1.0,Pier Barrios,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,58,14,Racing Club,Agustín Almendra,0.42,-0.78,-1.0,Nicolás Fernández,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,61,34,Racing Club,Gabriel Rojas,0.46,0.66,-1.0,Manuel Guillén,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,69,37,Racing Club,Agustín García Basso,-0.12,0.69,-1.0,Juan Bautista Cejas,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,71,17,Godoy Cruz,Lucas Arce,-0.22,0.73,-1.0,Gabriel Rojas,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,73,5,Godoy Cruz,Manuel Guillén,-0.23,0.72,-1.0,Gabriel Rojas,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,82,0,Racing Club,Santiago Sosa,-0.26,-0.75,-1.0,Salomón Rodríguez,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,82,55,Godoy Cruz,Thomas Galdames,-0.33,-0.52,-1.0,Agustín Urzi,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,84,56,Godoy Cruz,Tomás Conechny,0.07,0.66,-1.0,Agustín Almendra,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,90,37,Godoy Cruz,Valentín Burgoa,-0.27,0.14,-1.0,Agustín Almendra,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,foul,2,94,7,Racing Club,Santiago Sosa,0.46,-0.82,-1.0,Valentín Burgoa,,,,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,1,51,Racing Club,Agustín Almendra,0.43,-0.17,-1.0,,0.99,0.13,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,2,47,Godoy Cruz,Tomás Conechny,-0.63,-0.02,-1.0,,-0.99,0.0,0.99,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,8,17,Racing Club,Juan Fernando Quintero,0.87,0.33,-1.0,Franco Petroli,0.94,0.1,0.29,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,19,47,Godoy Cruz,Juan Bautista Cejas,-0.5,0.23,-1.0,,-0.91,-0.97,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,20,33,Racing Club,Bruno Zuculini,0.47,0.31,-1.0,,0.98,0.12,0.98,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,23,0,Godoy Cruz,Juan Bautista Cejas,-0.56,0.24,-1.0,,-0.98,-0.47,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,24,14,Racing Club,Bruno Zuculini,0.39,-0.31,-1.0,,0.72,-0.21,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,27,54,Godoy Cruz,Tomás Badaloni,-0.82,-0.21,-1.0,Gabriel Arias,-0.96,0.06,0.74,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,40,5,Godoy Cruz,Juan Bautista Cejas,-0.45,0.47,-1.0,,-0.65,0.36,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,40,22,Godoy Cruz,Vicente Poggi,-0.6,0.01,-1.0,,-1.0,0.42,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,41,59,Racing Club,Juan Fernando Quintero,0.39,0.18,-1.0,,0.62,0.02,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,43,32,Racing Club,Santiago Solari,0.73,0.3,-1.0,,0.75,0.2,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,1,45,40,Racing Club,Juan Fernando Quintero,0.4,-0.18,-1.0,,0.96,-0.27,-1.0,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,2,46,7,Racing Club,Santiago Solari,-0.66,-0.23,-1.0,Franco Petroli,-0.8,-0.13,0.33,
17-02-2024,19:00,Racing Club,Godoy Cruz,Argentina - Copa LPF 2024,Presidente Perón,shot,2,46,24,Racing Club,Maximiliano Salas,-0.77,0.31,-1.0,Franco Petroli,-0.96,0.08,0.29,
