date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,0,9,Rosario Central,Ignacio Malcorra,-0.03,-0.4,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,3,0,Gimnasia,Rodrigo Saravia,0.4,0.22,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,10,55,Rosario Central,Carlos Quintana,-0.32,-0.13,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,21,56,Gimnasia,Benjamín Domínguez,-0.82,-0.68,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,21,54,Rosario Central,Agustín Sández,-0.52,-0.44,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,26,16,Gimnasia,Matías Abaldo,-0.01,0.13,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,34,3,Rosario Central,Kevin Ortiz,0.24,0.13,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,35,48,Rosario Central,Jonatan Gómez,-0.08,0.22,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,39,7,Gimnasia,Leonardo Morales,0.34,-0.57,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,46,54,Rosario Central,Agustín Sández,-0.6,-0.11,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,45,50,Gimnasia,Juan Pintado,-0.72,0.94,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,46,41,Rosario Central,Agustín Sández,0.73,0.55,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,69,47,Gimnasia,Pablo De Blasis,0.09,-0.13,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,71,59,Gimnasia,Matías Abaldo,-0.3,-0.42,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,91,2,Rosario Central,Franco Ibarra,0.31,-0.06,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,92,28,Rosario Central,Agustín Sández,0.1,0.7,-1.0,,,,,
17-02-2024,21:00,Rosario Central,Gimnasia,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,93,37,Rosario Central,Elías Ocampo,0.66,-0.22,-1.0,,,,,
