date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,30,San Lorenzo,Gonzalo Luján,-0.53,-0.59,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,4,54,San Lorenzo,Agustín Giay,0.33,0.82,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,6,50,Tigre,Matías Espíndola,-0.46,0.49,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,9,39,Tigre,Brahian Alemán,0.1,-0.56,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,10,16,Tigre,Gonzalo Flores,-0.93,0.75,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,13,28,San Lorenzo,Elián Irala,-0.68,-0.76,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,13,20,Tigre,Brahian Alemán,0.12,-0.77,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,16,59,San Lorenzo,Gonzalo Luján,-0.23,-0.15,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,23,28,San Lorenzo,Francisco Perruzzi,0.07,0.58,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,26,6,San Lorenzo,Malcom Braida,-0.43,-0.37,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,26,26,San Lorenzo,Elián Irala,0.24,0.67,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,38,20,San Lorenzo,Iván Leguizamón,0.41,0.22,-1.0,,,,,
17-02-2024,17:00,San Lorenzo,Tigre,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,39,13,San Lorenzo,Gastón Hernández,-0.15,-0.87,-1.0,,,,,
