date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,6,22,Instituto,Jonathan Bay,-0.4,-0.37,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,10,26,Instituto,Miguel Brizuela,-0.05,-0.52,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,10,25,Independiente,Iván Marcone,0.01,-0.08,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,14,45,Independiente,Juan Manuel Fedorco,0.3,-0.22,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,24,46,Independiente,Iván Marcone,0.23,0.05,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,34,16,Independiente,Iván Marcone,-0.19,-0.03,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,36,1,Independiente,Mauricio Isla,0.13,-0.35,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,37,45,Independiente,Joaquín Laso,0.09,0.4,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,43,4,Instituto,Juan José Franco,-0.62,0.7,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,47,2,Instituto,Roberto Bochi,-0.07,0.21,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,46,58,Independiente,Iván Marcone,0.05,-0.11,-1.0,,,,,
18-02-2024,17:00,Instituto,Independiente,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,48,14,Independiente,Alexis Canelo,-0.02,-0.6,-1.0,,,,,
