date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,2,44,Boca Juniors,Jorman Campuzano,0.31,-0.2,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,4,5,Boca Juniors,Luis Adví­ncula,0.72,-0.6,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,5,44,Boca Juniors,Jorman Campuzano,0.14,0.56,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,12,8,Boca Juniors,Luis Adví­ncula,0.72,-0.44,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,15,8,Lanús,Felipe Peña Biafore,0.19,0.73,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,18,13,Boca Juniors,Jorman Campuzano,-0.18,0.47,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,23,40,Boca Juniors,Nicolás Figal,0.71,-0.4,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,26,56,Boca Juniors,Miguel Ángel Merentiel,0.12,-0.65,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,34,26,Boca Juniors,Jorman Campuzano,0.48,-0.47,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,37,16,Lanús,Luciano Boggio,0.15,0.53,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,41,5,Boca Juniors,Luis Adví­ncula,0.58,-0.61,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,46,13,Boca Juniors,Ezequiel Fernández,0.16,0.61,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,58,18,Boca Juniors,Luis Adví­ncula,-0.22,0.03,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,61,8,Boca Juniors,Miguel Ángel Merentiel,0.36,-0.56,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,62,14,Boca Juniors,Marcelo Saracchi,-0.74,-0.21,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,62,34,Boca Juniors,Luis Adví­ncula,0.04,0.71,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,64,23,Boca Juniors,Ezequiel Bullaude,0.22,0.12,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,67,46,Boca Juniors,Cristian Medina,0.34,0.77,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,70,56,Boca Juniors,Ezequiel Bullaude,0.18,0.37,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,83,29,Boca Juniors,Ezequiel Fernández,0.14,0.29,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,84,59,Boca Juniors,Ezequiel Fernández,-0.49,-0.85,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,88,42,Boca Juniors,Nicolás Figal,-0.75,-0.6,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,88,55,Boca Juniors,Lucas Blondel,0.21,0.83,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,93,6,Boca Juniors,Lucas Blondel,-0.77,-0.39,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,93,36,Boca Juniors,Cristian Lema,0.11,0.53,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,96,21,Boca Juniors,Lautaro Blanco,-0.22,-0.71,-1.0,,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,8,34,Boca Juniors,Cristian Medina,0.15,-0.7,-1.0,Marcelino Moreno,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,15,43,Lanús,Felipe Peña Biafore,0.01,-0.59,-1.0,Ezequiel Fernández,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,19,59,Lanús,Julio César Soler,-0.3,-0.82,-1.0,Luis Adví­ncula,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,20,44,Boca Juniors,Cristian Lema,-0.77,0.1,-1.0,Ezequiel Muñoz,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,21,35,Lanús,Braian Aguirre,-0.21,0.43,-1.0,Lucas Janson,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,24,11,Boca Juniors,Lucas Janson,0.19,-0.32,-1.0,Abel Luciatti,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,24,37,Boca Juniors,Ezequiel Fernández,0.16,-0.86,-1.0,Marcelino Moreno,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,28,18,Lanús,Julio César Soler,0.25,-0.8,-1.0,Kevin Zenón,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,29,20,Boca Juniors,Cristian Medina,-0.36,0.89,-1.0,Marcelino Moreno,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,29,57,Lanús,Walter Bou,0.7,-0.46,-1.0,Luis Adví­ncula,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,37,49,Lanús,Walter Bou,0.45,-0.25,-1.0,Luis Adví­ncula,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,40,3,Boca Juniors,Jorman Campuzano,0.07,-0.6,-1.0,Luciano Boggio,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,43,21,Lanús,Marcelino Moreno,0.35,0.25,-1.0,Ezequiel Fernández,,,,
18-02-2024,21:30,Lanús,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,46,37,Boca Juniors,Nicolás Figal,-0.3,0.54,-1.0,Leandro Díaz,,,,
