date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,7,37,Banfield,Milton Giménez,0.33,0.57,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,18,20,River Plate,Andrés Herrera,-0.82,0.74,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,26,9,Banfield,Ignacio Rodríguez,0.11,-0.01,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,38,58,Banfield,,0.66,0.27,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,45,51,Banfield,Ignacio Rodríguez,-0.57,-0.68,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,45,59,Banfield,Aarón Quirós,-0.65,-0.37,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,48,58,Banfield,Ezequiel Cañete,-0.39,-0.25,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,56,35,Banfield,Yvo Calleros,-0.4,-0.08,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,59,37,Banfield,Milton Giménez,0.4,-0.52,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,72,7,Banfield,Gerónimo Rivera,0.17,0.56,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,90,54,River Plate,Leandro González Pirez,-0.18,-0.79,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,90,41,Banfield,,-0.76,-0.58,-1.0,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,8,0,Banfield,Milton Giménez,-0.63,-0.85,-1.0,Enzo Díaz,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,10,35,River Plate,Facundo Colidio,0.41,0.87,-1.0,Aarón Quirós,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,14,9,River Plate,Nicolás Fonseca,0.31,-0.21,-1.0,Ignacio Rodríguez,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,16,3,Banfield,Ezequiel Cañete,-0.53,0.89,-1.0,Rodrigo Aliendro,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,32,20,Banfield,Jesús Soraire,0.13,-0.5,-1.0,Ignacio Fernández,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,32,34,Banfield,Milton Giménez,0.31,-0.1,-1.0,Esequiel Barco,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,33,34,Banfield,Gerónimo Rivera,-0.07,-0.38,-1.0,Nicolás Fonseca,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,36,32,Banfield,Ezequiel Bonifacio,-0.34,-0.46,-1.0,Esequiel Barco,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,40,4,Banfield,Yvo Calleros,0.11,0.0,-1.0,Rodrigo Aliendro,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,42,42,Banfield,Ignacio Rodríguez,0.36,0.13,-1.0,Esequiel Barco,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,46,9,Banfield,Gerónimo Rivera,0.59,0.8,-1.0,Paulo Díaz,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,49,14,Banfield,,-0.4,-0.87,-1.0,Ignacio Fernández,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,59,39,River Plate,Leandro González Pirez,0.4,-0.49,-1.0,Milton Giménez,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,61,35,River Plate,Ignacio Fernández,0.07,-0.5,-1.0,Ignacio Rodríguez,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,66,20,River Plate,Nicolás Fonseca,-0.34,0.18,-1.0,Gerónimo Rivera,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,72,18,River Plate,Nicolás Fonseca,0.4,0.42,-1.0,Gerónimo Rivera,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,74,0,Banfield,Ignacio Rodríguez,0.29,-0.35,-1.0,Ignacio Fernández,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,84,41,Banfield,Bruno Sepúlveda,0.1,-0.36,-1.0,Nicolás Fonseca,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,85,23,River Plate,Enzo Díaz,-0.43,0.87,-1.0,Ezequiel Cañete,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,88,48,Banfield,Alejandro Maciel,-0.29,0.57,-1.0,Claudio Echeverri,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,1,52,River Plate,Franco Mastantuono,0.75,0.07,-1.0,,0.99,-0.29,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,4,26,Banfield,Gerónimo Rivera,-0.52,-0.5,-1.0,Ignacio Fernández,-0.59,-0.43,0.33,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,13,26,River Plate,Rodrigo Aliendro,0.53,0.44,-1.0,Gerónimo Rivera,0.71,0.27,0.35,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,17,23,Banfield,Gerónimo Rivera,-0.71,0.38,-1.0,Paulo Díaz,-0.75,0.29,0.33,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,22,26,River Plate,Andrés Herrera,0.74,0.38,-1.0,,0.99,-0.54,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,24,42,River Plate,Esequiel Barco,0.62,-0.04,-1.0,Marcelo Barovero,0.91,0.05,0.48,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,24,46,River Plate,Ignacio Fernández,0.78,0.16,-1.0,,0.99,0.3,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,28,7,Banfield,Aarón Quirós,-0.75,0.07,-1.0,,-1.0,-0.01,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,33,19,River Plate,Facundo Colidio,0.71,0.22,-1.0,Yvo Calleros,0.73,0.14,0.12,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,40,41,River Plate,Esequiel Barco,0.53,-0.07,-1.0,,0.99,-0.19,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,46,57,River Plate,Franco Mastantuono,-0.88,-0.42,-1.0,Marcelo Barovero,-0.96,0.02,0.44,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,52,11,Banfield,Milton Giménez,0.74,-0.09,-1.0,,0.97,-0.59,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,54,18,River Plate,Facundo Colidio,-0.87,0.41,-1.0,Marcelo Barovero,-0.94,0.08,0.44,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,57,43,River Plate,Facundo Colidio,-0.77,0.09,-1.0,,-1.0,0.01,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,58,42,River Plate,Pablo Solari,-0.77,-0.33,-1.0,,-0.99,-0.29,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,64,10,River Plate,Facundo Colidio,-0.76,-0.08,-1.0,,-0.95,0.78,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,67,32,River Plate,Claudio Echeverri,-0.41,-0.18,-1.0,,-0.99,-0.35,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,69,36,Banfield,Ignacio Rodríguez,0.43,-0.1,-1.0,Franco Armani,0.95,0.04,0.21,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,74,48,River Plate,Claudio Echeverri,-0.49,0.32,-1.0,Marcelo Barovero,-0.95,0.01,0.32,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,76,35,River Plate,Pablo Solari,-0.89,-0.35,-1.0,Alejandro Maciel,-0.95,0.02,0.88,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,77,43,River Plate,Claudio Echeverri,-0.44,-0.05,-1.0,,-0.73,0.26,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,77,55,River Plate,Ignacio Fernández,-0.57,0.1,-1.0,Marcelo Barovero,-0.97,0.03,0.63,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,81,20,River Plate,Agustín Ruberto,-0.76,-0.16,-1.0,Marcelo Barovero,-0.92,0.05,0.21,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,83,32,River Plate,Paulo Díaz,-0.35,-0.02,-1.0,Marcelo Barovero,-0.94,0.15,0.52,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,85,55,Banfield,Braian Galván,0.74,-0.3,-1.0,,0.98,0.08,0.49,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,87,46,River Plate,Esequiel Barco,-0.72,0.28,-1.0,,-0.98,0.53,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,88,54,River Plate,Nicolás Fonseca,-0.38,-0.01,-1.0,Yvo Calleros,-0.46,-0.02,0.35,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,89,18,River Plate,Pablo Solari,-0.78,0.03,-1.0,,-0.99,0.06,0.55,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,90,40,River Plate,Agustín Sant'Anna,-0.4,-0.1,-1.0,Marcelo Barovero,-0.95,0.06,0.45,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,92,51,River Plate,Agustín Sant'Anna,-0.69,-0.25,-1.0,,-0.98,0.46,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,96,20,River Plate,Pablo Solari,-0.5,0.11,-1.0,Marcelo Barovero,-0.93,0.06,0.2,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,97,39,River Plate,Pablo Solari,-0.77,-0.2,-1.0,Luciano Recalde,-0.78,-0.13,0.19,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,97,48,River Plate,Ignacio Fernández,-0.42,-0.41,-1.0,Yvo Calleros,-0.53,-0.33,0.34,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,2,25,Banfield,Aarón Quirós,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,5,44,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,24,7,Banfield,Aarón Quirós,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,25,11,Banfield,Alejandro Maciel,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,28,24,River Plate,Franco Armani,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,30,11,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,37,34,Banfield,Alejandro Maciel,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,41,9,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,1,45,6,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,2,52,19,River Plate,Franco Armani,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,2,58,23,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,2,59,15,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,2,67,54,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,2,68,48,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,2,88,24,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,goal_kick,2,95,22,Banfield,Marcelo Barovero,,,,,,,,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,throw_in,1,2,58,Banfield,Ezequiel Bonifacio,0.36,-0.98,-1.0,,0.3,-0.68,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,throw_in,1,6,14,River Plate,Andrés Herrera,0.68,0.96,-1.0,,0.29,0.76,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,throw_in,1,15,26,Banfield,Ezequiel Bonifacio,0.35,-0.95,-1.0,,-0.14,-0.66,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,throw_in,1,18,33,River Plate,Andrés Herrera,0.57,0.98,-1.0,,0.54,0.67,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,throw_in,1,19,46,Banfield,,0.45,0.94,-1.0,,0.68,0.78,-1.0,
18-02-2024,19:15,River Plate,Banfield,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,throw_in,1,20,31,River Plate,Andrés Herrera,-0.67,0.98,-1.0,,-0.34,0.72,-1.0,
