date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,0,44,Huracán,Héctor Fértoli,-0.23,0.79,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,4,51,Huracán,Lucas Carrizo,0.26,0.48,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,8,9,Vélez,Juan Ignacio Méndez,-0.28,0.51,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,8,7,Huracán,Héctor Fértoli,-0.39,0.72,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,10,19,Vélez,Braian Romero,0.58,-0.44,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,12,23,Vélez,Elías Gómez,-0.45,-0.8,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,15,14,Huracán,Walter Mazzantti,0.14,-0.52,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,16,46,Huracán,Alan Soñora,-0.06,-0.2,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,19,38,Huracán,César Ibáñez,0.35,0.71,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,19,49,Huracán,César Ibáñez,0.14,0.77,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,20,47,Huracán,Lucas Carrizo,0.17,0.29,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,23,4,Huracán,Lucas Carrizo,0.36,0.43,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,44,6,Vélez,Elías Gómez,-0.76,-0.78,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,45,16,Vélez,Valentín Gómez,0.9,0.79,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,59,24,Huracán,Héctor Fértoli,-0.21,-0.37,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,64,46,Huracán,Hernán De La Fuente,-0.37,0.74,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,65,5,Huracán,Héctor Fértoli,-0.19,-0.2,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,73,31,Huracán,Héctor Fértoli,-0.3,-0.6,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,77,50,Vélez,Elías Gómez,0.52,-0.59,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,80,49,Vélez,Christian Ordóñez,-0.4,-0.55,-1.0,,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,2,30,Huracán,Leandro Garate,-0.15,-0.66,-1.0,Elías Gómez,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,15,36,Huracán,Rodrigo Echeverría,0.33,-0.09,-1.0,Francisco Pizzini,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,17,57,Huracán,Alan Soñora,0.43,0.7,-1.0,Francisco Pizzini,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,29,43,Vélez,Leonardo Jara,0.41,0.41,-1.0,Alan Soñora,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,36,14,Vélez,Christian Ordóñez,0.69,0.81,-1.0,Lucas Carrizo,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,41,16,Huracán,Fabio Pereyra,0.47,-0.44,-1.0,Braian Romero,,,,
18-02-2024,17:00,Vélez,Huracán,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,45,16,Huracán,Walter Mazzantti,0.86,0.8,-1.0,Valentín Gómez,,,,
