date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,0,26,Talleres,Juan Camilo Portilla,-0.19,0.61,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,2,44,Barracas Central,Santiago Coronel,0.03,0.27,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,5,9,Talleres,Juan Camilo Portilla,-0.44,0.49,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,5,50,Barracas Central,Gonzalo Goñi,-0.41,0.31,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,11,31,Talleres,Juan Camilo Portilla,0.43,-0.69,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,22,30,Talleres,Alejandro Martínez,-0.41,-0.38,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,25,25,Talleres,Matías Catalán,0.66,-0.48,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,26,1,Barracas Central,Facundo Mater,-0.2,0.87,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,31,28,Talleres,Miguel Navarro,-0.61,0.74,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,33,28,Talleres,Matías Catalán,-0.1,-0.43,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,37,35,Talleres,Matías Catalán,-0.21,-0.7,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,37,45,Barracas Central,Rodrigo Insúa,-0.38,-0.49,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,39,7,Talleres,Matías Catalán,-0.09,-0.55,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,45,20,Talleres,Miguel Navarro,0.19,0.74,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,56,43,Barracas Central,Siro Rosané,-0.11,-0.02,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,57,12,Talleres,Matías Catalán,-0.82,0.66,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,58,59,Talleres,Matías Catalán,-0.6,0.62,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,59,39,Talleres,Juan Camilo Portilla,-0.45,0.35,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,59,55,Talleres,Nahuel Bustos,0.2,-0.48,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,60,1,Talleres,Juan Carlos Portillo,0.16,-0.29,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,71,49,Talleres,Matías Catalán,-0.87,0.79,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,74,42,Talleres,Luis Sequeira,-0.26,0.69,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,75,23,Barracas Central,Daniel Juárez,-0.29,0.09,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,75,37,Barracas Central,Pedro Velurtas,0.08,-0.45,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,76,42,Talleres,Juan Carlos Portillo,-0.34,0.55,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,79,34,Talleres,Juan Carlos Portillo,-0.43,0.62,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,80,26,Talleres,Rubén Botta,-0.3,0.58,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,84,5,Talleres,Juan Carlos Portillo,0.02,0.56,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,84,6,Barracas Central,Rodrigo Insúa,0.58,0.61,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,85,16,Barracas Central,Rodrigo Insúa,0.6,0.56,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,86,19,Talleres,Miguel Navarro,-0.38,-0.06,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,86,42,Talleres,Rubén Botta,0.13,-0.09,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,87,37,Talleres,Ramón Sosa,0.05,-0.57,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,87,22,Barracas Central,Facundo Mater,0.55,-0.52,-1.0,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,0,31,Barracas Central,Marco Iacobellis,0.18,0.53,-1.0,Juan Carlos Portillo,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,3,20,Talleres,Lucas Suárez,0.31,0.18,-1.0,Rodrigo Herrera,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,5,31,Talleres,Gustavo Bou,-0.35,0.49,-1.0,Nicolás Capraro,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,10,44,Talleres,Miguel Navarro,-0.08,0.79,-1.0,Marco Iacobellis,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,11,2,Barracas Central,Maximiliano Zalazar,0.49,-0.66,-1.0,Gastón Benavídez,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,14,48,Barracas Central,Marco Iacobellis,-0.13,0.82,-1.0,Ramón Sosa,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,18,28,Talleres,Juan Camilo Portilla,-0.27,-0.57,-1.0,Siro Rosané,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,24,29,Talleres,Gastón Benavídez,-0.89,-0.34,-1.0,Alexis Domínguez,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,28,12,Barracas Central,Marco Iacobellis,0.17,0.78,-1.0,Miguel Navarro,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,28,49,Talleres,Gastón Benavídez,-0.51,-0.44,-1.0,Gonzalo Goñi,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,37,30,Barracas Central,Rodrigo Herrera,0.24,0.55,-1.0,Rubén Botta,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,37,56,Talleres,Gastón Benavídez,,,,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,39,29,Talleres,Gustavo Bou,-0.46,-0.34,-1.0,Siro Rosané,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,45,45,Talleres,Lucas Suárez,,,,,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,53,51,Talleres,Alejandro Martínez,-0.25,0.88,-1.0,Rodrigo Insúa,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,54,49,Barracas Central,Alexis Domínguez,-0.36,0.54,-1.0,Juan Carlos Portillo,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,55,8,Barracas Central,Rodrigo Insúa,0.2,-0.46,-1.0,Juan Carlos Portillo,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,58,14,Talleres,Miguel Navarro,0.73,-0.72,-1.0,Facundo Mater,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,60,33,Barracas Central,Santiago Coronel,0.29,0.53,-1.0,Rubén Botta,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,64,36,Talleres,Miguel Navarro,0.31,-0.22,-1.0,Carlos Arce,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,74,8,Talleres,Rubén Botta,0.76,0.53,-1.0,Rodrigo Insúa,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,78,37,Barracas Central,Facundo Mater,0.38,-0.49,-1.0,Ramón Sosa,,,,
19-02-2024,19:15,Barracas Central,Talleres,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,87,33,Barracas Central,Alan Cantero,-0.27,-0.43,-1.0,Miguel Navarro,,,,
