date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,0,23,Belgrano,Ulises Sánchez,0.2,0.52,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,1,46,Belgrano,Santiago Longo,-0.25,-0.66,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,7,19,Sarmiento,Maico Quiroz,-0.21,-0.72,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,15,0,Belgrano,Juan Ignacio Barinaga,-0.81,0.68,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,17,50,Belgrano,Matías García,0.12,-0.54,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,21,21,Belgrano,Juan Ignacio Barinaga,-0.69,0.9,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,21,29,Sarmiento,Juan Manuel Insaurralde,0.28,0.7,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,22,12,Sarmiento,Fernando Godoy,0.0,-0.37,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,25,57,Sarmiento,Manuel Mónaco,0.27,0.3,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,28,32,Belgrano,Santiago Longo,0.24,0.03,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,28,24,Sarmiento,Fernando Godoy,0.27,-0.72,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,37,3,Sarmiento,Gabriel Díaz,0.84,0.61,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,37,21,Belgrano,Santiago Longo,-0.66,0.83,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,43,29,Belgrano,Santiago Longo,-0.29,0.45,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,45,2,Belgrano,Juan Ignacio Barinaga,-0.68,0.6,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,47,38,Belgrano,Juan Ignacio Barinaga,0.41,-0.59,-1.0,,,,,
19-02-2024,21:30,Belgrano,Sarmiento,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,47,41,Sarmiento,Alfredo Amarilla,0.49,-0.84,-1.0,,,,,
