date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,4,34,Dep. Riestra,Nicolás Benegas,0.53,-0.84,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,7,41,Dep. Riestra,Jonatan Goitía,0.33,0.91,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,12,9,Atlético Tucumán,Nicolás Romero,0.96,0.5,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,28,41,Dep. Riestra,Jonatan Goya,0.45,0.27,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,33,39,Dep. Riestra,Milton Céliz,0.37,-0.83,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,33,55,Dep. Riestra,Milton Céliz,0.29,-0.45,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,35,29,Dep. Riestra,Jonatan Goya,-0.7,0.4,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,38,40,Dep. Riestra,Jonatan Goya,-0.22,-0.63,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,39,2,Dep. Riestra,Jonatan Goya,-0.49,-0.51,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,40,22,Dep. Riestra,Maximiliano Rodríguez,-0.62,0.83,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,40,47,Dep. Riestra,Jonatan Goitía,-0.11,-0.31,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,41,36,Dep. Riestra,Mauro Ortiz,0.22,0.71,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,58,24,Dep. Riestra,Jonatan Goya,-0.52,0.15,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,78,18,Atlético Tucumán,Guillermo Acosta,-0.4,0.86,-1.0,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,0,7,Dep. Riestra,Jonatan Goitía,0.27,0.89,-1.0,Joaquín Pereyra,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,9,21,Dep. Riestra,Maximiliano Rodríguez,-0.46,0.26,-1.0,Joaquín Pereyra,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,15,26,Dep. Riestra,Jonatan Goitía,-0.12,0.9,-1.0,Matías Orihuela,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,18,20,Dep. Riestra,Jonatan Goitía,0.08,-0.46,-1.0,Nicolás Servetto,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,19,44,Dep. Riestra,Nicolás Benegas,0.79,-0.8,-1.0,Néstor Breitenbruch,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,28,55,Dep. Riestra,Nicolás Benegas,0.5,0.26,-1.0,Nicolás Servetto,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,29,56,Atlético Tucumán,Nicolás Servetto,,,,,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,37,21,Atlético Tucumán,Nicolás Castro,0.21,0.61,-1.0,Mauro Ortiz,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,41,47,Atlético Tucumán,Nicolás Romero,0.42,0.42,-1.0,Mauro Ortiz,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,46,26,Dep. Riestra,Jonatan Goya,-0.46,-0.54,-1.0,Nicolás Servetto,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,48,5,Atlético Tucumán,Néstor Breitenbruch,-0.46,0.3,-1.0,Jonathan Herrera,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,46,12,Atlético Tucumán,Renzo Tesuri,-0.13,0.58,-1.0,Jonatan Goya,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,52,8,Dep. Riestra,Milton Céliz,0.3,-0.45,-1.0,Joaquín Pereyra,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,57,5,Dep. Riestra,Maximiliano Rodríguez,0.73,-0.86,-1.0,Mateo Coronel,,,,
19-02-2024,17:00,Dep. Riestra,Atlético Tucumán,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,65,22,Dep. Riestra,Jonatan Goya,0.42,0.46,-1.0,Renzo Tesuri,,,,
