date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,35,Estudiantes,Javier Altamirano,0.71,0.65,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,43,Newell`s,Francisco González,0.79,-0.44,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,7,57,Estudiantes,Gastón Benedetti,-0.44,-0.4,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,13,50,Estudiantes,Federico Fernández,-0.68,0.6,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,17,43,Estudiantes,Javier Altamirano,0.25,-0.25,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,18,29,Newell`s,Rodrigo Fernández,0.37,-0.13,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,30,17,Estudiantes,Eros Mancuso,-0.74,0.52,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,32,4,Newell`s,Víctor Velázquez,0.51,-0.54,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,49,25,Estudiantes,Javier Correa,0.7,-0.32,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,47,45,Estudiantes,Zaid Romero,0.59,-0.27,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,62,30,Estudiantes,José Sosa,0.68,-0.51,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,70,33,Newell`s,Armando Méndez,-0.78,0.63,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,74,48,Estudiantes,Javier Altamirano,0.17,0.13,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,75,32,Estudiantes,Javier Altamirano,-0.22,0.21,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,75,37,Estudiantes,Santiago Ascacíbar,-0.19,0.16,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,78,24,Estudiantes,Gastón Benedetti,-0.45,0.59,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,80,29,Estudiantes,Federico Fernández,0.85,-0.56,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,81,8,Estudiantes,Eros Mancuso,-0.36,-0.12,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,80,59,Newell`s,Víctor Velázquez,-0.55,0.18,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,87,54,Estudiantes,Tiago Palacios,-0.61,-0.45,-1.0,,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,2,37,Newell`s,Franco Díaz,0.36,-0.06,-1.0,José Sosa,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,9,56,Estudiantes,Javier Altamirano,0.6,-0.75,-1.0,Franco Díaz,,,,
19-02-2024,19:15,Estudiantes,Newell`s,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,11,21,Estudiantes,Fernando Zuqui,-0.34,-0.2,-1.0,Ever Banega,,,,
