date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,0,17,Platense,Ignacio Vázquez,0.39,-0.21,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,6,57,Platense,Iván Gómez,0.31,-0.67,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,7,25,Unión,Claudio Corvalán,-0.74,-0.59,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,9,58,Platense,Leonel Picco,-0.34,-0.39,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,15,11,Platense,Leonel Picco,0.18,0.4,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,20,40,Platense,Lisandro Montenegro,-0.21,-0.93,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,21,28,Platense,Leonel Picco,0.59,0.81,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,27,1,Unión,Mauro Pittón,-0.36,0.35,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,30,6,Platense,Sasha Marcich,0.11,0.59,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,29,41,Unión,Mauro Pittón,-0.37,-0.25,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,30,27,Unión,Claudio Corvalán,-0.43,-0.5,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,30,50,Unión,Nicolás Paz,-0.62,-0.22,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,33,14,Unión,Nicolás Paz,-0.72,0.21,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,35,47,Unión,Miguel Ángel Torrén,-0.53,-0.4,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,38,18,Unión,Adrián Balboa,-0.15,-0.09,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,46,35,Unión,Federico Vera,0.39,0.38,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,1,48,7,Platense,Ignacio Vázquez,-0.22,0.39,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,46,9,Platense,Iván Gómez,-0.61,-0.86,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,47,33,Unión,Miguel Ángel Torrén,0.01,-0.66,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,53,21,Unión,Federico Vera,0.6,-0.38,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,62,35,Platense,Lisandro Montenegro,-0.19,0.15,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,65,5,Platense,Lisandro Montenegro,-0.6,0.77,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,68,21,Platense,Ignacio Vázquez,-0.76,0.84,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,69,43,Unión,Claudio Corvalán,0.25,0.38,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,70,52,Platense,Ignacio Vázquez,-0.41,0.63,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,75,14,Platense,Sasha Marcich,-0.3,-0.85,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,81,52,Platense,Iván Gómez,-0.24,-0.49,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,83,2,Unión,Bruno Pittón,0.31,-0.15,-1.0,,,,,
19-02-2024,21:30,Unión,Platense,Argentina - Copa LPF 2024,15 de abril,steal,2,89,28,Platense,Carlos Villalba,-0.3,0.36,-1.0,,,,,
