date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,7,49,Independiente Riv. (M),Luciano Abecasis,-0.32,-0.18,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,18,5,Independiente Riv. (M),Matías Ruiz Díaz,0.16,-0.79,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,18,52,Argentinos Juniors,Alan Lescano,-0.27,-0.28,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,19,28,Independiente Riv. (M),Ezequiel Ham,-0.12,-0.43,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,22,42,Independiente Riv. (M),Luciano Abecasis,0.05,0.08,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,28,3,Argentinos Juniors,Ariel Gamarra,0.34,0.1,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,33,57,Independiente Riv. (M),Luciano Abecasis,0.02,-0.63,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,44,21,Independiente Riv. (M),Juan Manuel Vázquez,-0.41,0.22,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,44,51,Argentinos Juniors,Luciano Gondou,0.45,0.54,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,48,46,Independiente Riv. (M),Gastón Gil Romero,-0.36,-0.26,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,52,10,Independiente Riv. (M),Mauro Maidana,-0.61,-0.18,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,65,38,Independiente Riv. (M),Matías Reali,0.15,0.27,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,70,35,Independiente Riv. (M),Victorio Ramis,-0.51,-0.48,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,72,58,Independiente Riv. (M),Victorio Ramis,0.13,-0.28,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,73,48,Independiente Riv. (M),Joaquín Arzura,-0.44,0.66,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,73,59,Independiente Riv. (M),Victorio Ramis,0.08,0.59,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,74,9,Independiente Riv. (M),Matías Reali,0.1,-0.52,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,77,34,Independiente Riv. (M),Emmanuel Mas,0.38,-0.5,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,82,17,Independiente Riv. (M),Emmanuel Mas,0.05,-0.48,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,83,15,Independiente Riv. (M),Matías Ruiz Díaz,-0.49,0.76,-1.0,,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,2,43,Independiente Riv. (M),Ezequiel Ham,0.21,0.46,-1.0,Ariel Gamarra,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,4,1,Independiente Riv. (M),Matías Reali,-0.02,-0.54,-1.0,Román Vega,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,12,45,Argentinos Juniors,Thiago Santamaría,0.35,0.47,-1.0,Gastón Gil Romero,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,16,45,Independiente Riv. (M),Matías Reali,-0.44,0.64,-1.0,Thiago Santamaría,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,20,53,Argentinos Juniors,Nicolás Oroz,0.24,0.82,-1.0,Matías Reali,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,22,55,Argentinos Juniors,Tobías Palacio,-0.57,-0.74,-1.0,Mauricio Asenjo,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,25,13,Argentinos Juniors,Tobías Palacio,0.13,-0.58,-1.0,Mauricio Asenjo,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,38,9,Independiente Riv. (M),Bruno Bianchi,0.26,-0.15,-1.0,Maximiliano Romero,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,40,4,Argentinos Juniors,Luciano Gondou,0.72,0.18,-1.0,Gonzalo Marinelli,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,42,31,Argentinos Juniors,Luciano Gondou,0.41,0.3,-1.0,Juan Manuel Vázquez,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,45,17,Argentinos Juniors,Tobías Palacio,0.5,-0.3,-1.0,Matías Reali,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,65,12,Independiente Riv. (M),Victorio Ramis,0.76,0.18,-1.0,Diego Rodríguez,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,68,15,Independiente Riv. (M),Federico Castro,0.04,0.72,-1.0,Román Vega,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,73,32,Argentinos Juniors,Luciano Gondou,0.1,-0.65,-1.0,Matías Reali,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,76,20,Argentinos Juniors,Fernando Meza,-0.46,-0.51,-1.0,Matías Reali,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,85,10,Argentinos Juniors,José María Herrera,0.17,-0.73,-1.0,Emmanuel Mas,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,91,26,Argentinos Juniors,Gastón Verón,-0.28,-0.18,-1.0,Mauro Maidana,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,92,35,Independiente Riv. (M),Joaquín Arzura,-0.13,-0.58,-1.0,Emiliano Viveros,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,95,15,Independiente Riv. (M),Ezequiel Ham,-0.55,-0.45,-1.0,Gastón Verón,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,97,18,Argentinos Juniors,Gastón Verón,-0.89,-0.63,-1.0,Gonzalo Marinelli,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,79,25,Independiente Riv. (M),Mauro Maidana,0.39,-0.68,-1.0,Leonardo Heredia,,,,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,2,5,Argentinos Juniors,Maximiliano Romero,0.54,-0.22,-1.0,,0.96,0.2,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,5,33,Independiente Riv. (M),Mauricio Asenjo,-0.68,0.07,-1.0,,-1.0,-0.05,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,7,34,Argentinos Juniors,Luciano Gondou,0.52,0.51,-1.0,,0.63,0.3,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,8,16,Argentinos Juniors,Alan Lescano,0.51,0.2,-1.0,,0.98,-0.25,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,11,54,Argentinos Juniors,Ariel Gamarra,0.4,0.3,-1.0,,1.0,0.06,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,15,51,Argentinos Juniors,Alan Lescano,0.47,0.42,-1.0,,0.63,0.26,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,19,7,Argentinos Juniors,Nicolás Oroz,0.56,-0.27,-1.0,,0.74,-0.05,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,24,32,Independiente Riv. (M),Mauricio Asenjo,-0.76,0.06,-1.0,Diego Rodríguez,-0.96,-0.03,0.38,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,26,23,Argentinos Juniors,Maximiliano Romero,0.74,-0.06,-1.0,,0.98,0.18,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,27,9,Argentinos Juniors,Leonardo Heredia,0.57,-0.28,-1.0,Gonzalo Marinelli,0.96,-0.06,0.34,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,29,32,Argentinos Juniors,Alan Lescano,0.43,-0.09,-1.0,,1.0,0.02,-1.0,
20-02-2024,19:30,Argentinos Juniors,Independiente Riv. (M),Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,36,52,Argentinos Juniors,Maximiliano Romero,0.56,-0.19,-1.0,,0.71,-0.16,-1.0,
