date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,5,37,Defensa y Justicia,Santiago Ramos Mingo,-0.72,-0.37,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,8,59,Defensa y Justicia,Ezequiel Cannavó,-0.54,0.72,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,11,37,Defensa y Justicia,Rodrigo Bogarín,-0.35,-0.43,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,13,36,Defensa y Justicia,Gastón Togni,-0.43,-0.81,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,14,1,Defensa y Justicia,Emanuel Aguilera,0.07,0.28,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,15,39,Defensa y Justicia,Julián López,-0.44,-0.17,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,15,42,Central Córdoba (SE),Mateo Sanabria,-0.57,0.28,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,16,21,Central Córdoba (SE),Tomás Molina,-0.52,-0.84,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,21,54,Defensa y Justicia,Alexis Soto,0.19,-0.63,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,24,39,Defensa y Justicia,Julián López,-0.38,-0.3,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,24,59,Defensa y Justicia,Ezequiel Cannavó,0.21,0.45,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,30,33,Defensa y Justicia,Santiago Ramos Mingo,-0.7,-0.51,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,32,15,Defensa y Justicia,Rodrigo Bogarín,0.19,-0.35,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,39,45,Central Córdoba (SE),Juan Andrés Meli,0.57,0.62,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,42,15,Central Córdoba (SE),Pablo Minissale,0.68,-0.35,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,1,44,9,Central Córdoba (SE),Sebastián Valdez,0.21,0.64,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,46,12,Central Córdoba (SE),Dardo Miloc,-0.5,-0.05,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,47,11,Defensa y Justicia,Santiago Ramos Mingo,0.15,0.4,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,65,22,Defensa y Justicia,Luciano Herrera,-0.18,-0.61,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,69,51,Central Córdoba (SE),Manuel García,-0.26,0.78,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,83,48,Central Córdoba (SE),Tomás Molina,0.58,0.83,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,86,23,Defensa y Justicia,Santiago Ramos Mingo,0.43,0.27,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,90,41,Central Córdoba (SE),Thiago Nuss,-0.64,-0.79,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,91,19,Defensa y Justicia,Luciano Herrera,-0.56,-0.46,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,92,5,Central Córdoba (SE),Dardo Miloc,-0.56,0.18,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,steal,2,92,15,Central Córdoba (SE),Tomás Molina,-0.09,0.75,-1.0,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,1,6,7,Central Córdoba (SE),Dardo Miloc,-0.19,0.64,-1.0,Luciano Herrera,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,1,11,58,Defensa y Justicia,Luciano Herrera,0.38,0.64,-1.0,Mateo Sanabria,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,1,18,12,Defensa y Justicia,Emanuel Aguilera,-0.79,0.74,-1.0,Florián Monzón,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,1,31,40,Defensa y Justicia,Emanuel Aguilera,0.95,-0.06,-1.0,Andrés Mehring,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,1,32,16,Central Córdoba (SE),Dardo Miloc,0.09,-0.37,-1.0,Rodrigo Bogarín,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,1,37,37,Defensa y Justicia,Emanuel Aguilera,0.11,0.5,-1.0,Florián Monzón,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,1,39,16,Central Córdoba (SE),Juan Andrés Meli,0.31,0.81,-1.0,Luciano Herrera,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,54,30,Central Córdoba (SE),Fernando Torrent,-0.48,0.58,-1.0,Gastón Togni,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,58,47,Defensa y Justicia,Julián López,-0.2,-0.47,-1.0,Tomás Molina,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,61,36,Central Córdoba (SE),Tomás Molina,0.26,0.64,-1.0,Alexis Soto,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,63,20,Central Córdoba (SE),Dardo Miloc,-0.38,0.11,-1.0,Luciano Herrera,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,82,12,Defensa y Justicia,Alexis Soto,-0.34,0.11,-1.0,Matías Godoy,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,82,51,Central Córdoba (SE),Juan Andrés Meli,-0.19,-0.78,-1.0,Luciano Herrera,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,83,19,Defensa y Justicia,Nicolás Tripichio,-0.16,0.55,-1.0,Matías Godoy,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,87,16,Defensa y Justicia,Gastón Togni,,,,,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,88,42,Central Córdoba (SE),Enzo Kalinski,0.07,0.38,-1.0,Nicolás Palavecino,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,92,28,Central Córdoba (SE),Thiago Nuss,0.74,-0.13,-1.0,Cristopher Fiermarín,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,foul,2,94,47,Defensa y Justicia,Luciano Herrera,-0.77,-0.1,-1.0,Andrés Mehring,,,,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,4,19,Central Córdoba (SE),Tomás Molina,-0.72,-0.14,-1.0,Emanuel Aguilera,-0.77,-0.13,0.34,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,7,49,Defensa y Justicia,Julián López,0.73,0.3,-1.0,,0.98,0.23,-1.0,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,10,51,Central Córdoba (SE),Mateo Sanabria,-0.46,0.38,-1.0,,-0.98,-0.47,-1.0,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,15,4,Defensa y Justicia,Rodrigo Bogarín,0.56,-0.09,-1.0,Sebastián Valdez,0.63,-0.07,0.22,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,15,42,Central Córdoba (SE),Mateo Sanabria,-0.68,0.24,-1.0,Cristopher Fiermarín,-0.75,0.1,0.24,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,19,25,Central Córdoba (SE),Dardo Miloc,-0.89,-0.11,-1.0,,-0.99,-0.1,0.68,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,22,35,Central Córdoba (SE),Mateo Sanabria,-0.59,-0.02,-1.0,,-0.99,-0.27,-1.0,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,23,24,Defensa y Justicia,Nicolás Tripichio,0.61,0.15,-1.0,,1.0,0.28,-1.0,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,25,8,Defensa y Justicia,Luciano Herrera,0.73,0.36,-1.0,,0.98,-0.11,0.14,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,27,10,Central Córdoba (SE),Mateo Sanabria,-0.76,0.15,-1.0,,-0.99,-0.3,-1.0,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,33,31,Defensa y Justicia,Luciano Herrera,0.49,0.35,-1.0,Andrés Mehring,0.96,-0.12,0.32,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,33,37,Defensa y Justicia,Nicolás Tripichio,0.74,-0.14,-1.0,,0.99,-0.24,-1.0,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,34,13,Central Córdoba (SE),Florián Monzón,-0.46,-0.02,-1.0,,-1.0,0.38,-1.0,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,34,48,Defensa y Justicia,Nicolás Fernández,0.49,0.43,-1.0,Enzo Kalinski,0.53,0.36,0.37,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,38,11,Central Córdoba (SE),Tomás Molina,-0.64,-0.09,-1.0,Alexis Soto,-0.7,-0.1,0.32,
20-02-2024,20:00,Defensa y Justicia,Central Córdoba (SE),Argentina - Copa LPF 2024,General San Martín,shot,1,38,23,Central Córdoba (SE),Rodrigo Atencio,-0.47,-0.28,-1.0,,-0.99,-0.32,-1.0,
