date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,7,31,Belgrano,Santiago Longo,0.35,-0.08,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,10,16,Belgrano,Alex Ibacache,-0.16,-0.69,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,12,28,Talleres,Gastón Benavídez,0.66,-0.67,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,15,48,Belgrano,Esteban Rolón,-0.33,-0.42,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,21,15,Belgrano,Nicolás Meriano,-0.79,-0.37,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,27,8,Belgrano,Bryan Reyna,-0.33,-0.26,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,27,17,Belgrano,Alex Ibacache,-0.29,-0.81,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,27,17,Talleres,Matías Catalán,0.07,-0.37,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,30,28,Belgrano,Francisco González Metilli,0.02,-0.51,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,35,0,Belgrano,Esteban Rolón,-0.32,-0.16,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,42,36,Belgrano,Bryan Reyna,-0.27,-0.39,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,47,16,Belgrano,Juan Ignacio Barinaga,-0.38,0.59,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,47,39,Belgrano,Nicolás Meriano,-0.54,-0.28,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,54,3,Talleres,Juan Carlos Portillo,-0.12,0.67,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,54,57,Belgrano,Matías Moreno,0.62,0.03,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,56,2,Belgrano,Ulises Sánchez,0.3,-0.58,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,56,15,Talleres,Juan Carlos Portillo,-0.08,-0.25,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,58,19,Belgrano,Juan Ignacio Barinaga,-0.01,-0.71,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,65,2,Talleres,Alejandro Martínez,-0.76,-0.79,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,70,48,Talleres,Juan Camilo Portilla,-0.54,0.4,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,71,4,Belgrano,Santiago Longo,0.59,-0.64,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,73,46,Talleres,Gastón Benavídez,-0.35,0.35,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,82,12,Belgrano,Matías García,-0.26,-0.43,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,97,55,Belgrano,Lautaro Pastrán,-0.2,0.47,-1.0,,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,5,17,Belgrano,Lucas Passerini,0.35,0.19,-1.0,Juan Gabriel Rodríguez,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,6,25,Talleres,Rubén Botta,0.41,-0.82,-1.0,Francisco González Metilli,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,12,55,Belgrano,Bryan Reyna,0.47,-0.76,-1.0,Gastón Benavídez,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,14,11,Belgrano,Ulises Sánchez,0.15,0.92,-1.0,Miguel Navarro,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,17,10,Belgrano,Santiago Longo,-0.4,-0.85,-1.0,Rubén Botta,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,27,8,Belgrano,Esteban Rolón,-0.33,0.78,-1.0,Ramón Sosa,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,27,43,Belgrano,Matías Moreno,-0.37,-0.04,-1.0,Rubén Botta,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,35,27,Talleres,Matías Catalán,0.29,-0.85,-1.0,Bryan Reyna,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,38,1,Belgrano,Francisco González Metilli,0.31,-0.84,-1.0,Gastón Benavídez,,,,
24-02-2024,19:30,Belgrano,Talleres,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,43,5,Talleres,Matías Catalán,0.47,-0.34,-1.0,Bryan Reyna,,,,
