date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,5,40,San Lorenzo,Agustín Giay,0.12,-0.54,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,7,22,Huracán,Rodrigo Echeverría,-0.14,0.41,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,11,44,San Lorenzo,Malcom Braida,0.29,0.63,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,33,29,Huracán,Rodrigo Echeverría,-0.34,-0.65,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,40,36,Huracán,Lucas Souto,-0.32,0.51,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,45,29,Huracán,Rodrigo Echeverría,0.67,0.69,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,45,44,Huracán,César Ibáñez,0.52,0.57,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,47,21,Huracán,Lucas Souto,0.76,-0.64,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,53,52,San Lorenzo,Jhohan Romaña,-0.51,0.62,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,54,54,Huracán,Williams Alarcón,0.29,0.38,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,58,10,Huracán,Alan Soñora,0.5,-0.78,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,76,44,Huracán,César Ibáñez,0.1,0.37,-1.0,,,,,
24-02-2024,19:30,Huracán,San Lorenzo,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,79,52,Huracán,Hernán De La Fuente,0.51,-0.71,-1.0,,,,,
