date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,0,15,Independiente,Damián Pérez,-0.41,-0.79,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,0,37,Independiente,Iván Marcone,0.37,-0.43,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,1,29,Independiente,Mauricio Isla,-0.64,0.42,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,3,50,Independiente,Alex Luna,-0.37,-0.59,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,6,17,Independiente,Joaquín Laso,-0.34,-0.32,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,7,46,Independiente,Gabriel Neves,-0.51,-0.16,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,7,57,Independiente,Joaquín Laso,-0.73,-0.54,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,8,47,Independiente,Alex Luna,0.29,-0.66,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,19,3,Independiente,Iván Marcone,-0.47,0.31,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,19,9,Independiente,Iván Marcone,-0.4,0.31,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,20,16,Independiente,Iván Marcone,-0.32,0.18,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,25,36,Independiente,Mauricio Isla,0.24,0.4,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,26,53,Independiente,Iván Marcone,0.22,-0.09,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,34,59,Independiente,Alex Luna,-0.14,-0.37,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,1,36,20,Independiente,Iván Marcone,-0.51,-0.19,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,46,23,Independiente,Gabriel Neves,-0.24,-0.13,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,47,5,Independiente,Damián Pérez,0.31,0.74,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,48,12,Independiente,Joaquín Laso,0.46,-0.09,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,48,48,Independiente,Juan Manuel Fedorco,-0.07,-0.04,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,53,51,Independiente,Gabriel Neves,0.72,0.4,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,59,23,Independiente,Alexis Canelo,-0.27,-0.08,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,68,27,Independiente,Alex Luna,0.33,0.08,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,74,7,Independiente,Mauricio Isla,0.25,-0.71,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,steal,2,74,35,Independiente,Gabriel Ávalos,0.18,0.06,-1.0,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,1,34,Racing Club,Maximiliano Salas,-0.78,0.76,-1.0,Mauricio Isla,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,4,1,Racing Club,Agustín Almendra,-0.15,-0.71,-1.0,Alex Luna,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,8,7,Racing Club,Agustín Almendra,-0.36,-0.62,-1.0,Alex Luna,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,11,51,Independiente,Gabriel Neves,0.34,0.62,-1.0,Agustín Almendra,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,13,16,Independiente,Damián Pérez,-0.44,-0.45,-1.0,Juan Fernando Quintero,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,25,7,Racing Club,Gabriel Rojas,-0.02,0.44,-1.0,Alexis Canelo,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,30,0,Independiente,Joaquín Laso,,,,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,31,7,Racing Club,Facundo Mura,0.33,-0.35,-1.0,Alex Luna,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,32,29,Racing Club,Maximiliano Salas,0.5,0.86,-1.0,Alex Luna,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,33,14,Independiente,Juan Manuel Fedorco,0.75,0.07,-1.0,Maximiliano Salas,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,39,38,Racing Club,Adrián Martínez,-0.74,0.1,-1.0,Mauricio Isla,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,44,23,Racing Club,Maximiliano Salas,0.23,-0.5,-1.0,Joaquín Laso,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,1,45,4,Independiente,Joaquín Laso,0.42,0.67,-1.0,Bruno Zuculini,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,50,7,Racing Club,Agustín García Basso,-0.79,-0.77,-1.0,Alexis Canelo,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,52,30,Independiente,Alexis Canelo,0.48,-0.57,-1.0,Gabriel Rojas,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,54,46,Racing Club,Agustín Almendra,-0.17,-0.3,-1.0,Alexis Canelo,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,58,23,Racing Club,Nazareno Colombo,-0.43,0.7,-1.0,Gabriel Ávalos,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,64,8,Independiente,Alexis Canelo,-0.32,-0.61,-1.0,Gabriel Rojas,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,70,6,Independiente,Joaquín Laso,0.16,-0.43,-1.0,Adrián Martínez,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,72,29,Racing Club,Agustín Almendra,-0.37,-0.58,-1.0,Mauricio Isla,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,77,36,Racing Club,Nazareno Colombo,-0.42,-0.38,-1.0,Alex Luna,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,85,11,Racing Club,Baltasar Rodríguez,,,,,,,,
24-02-2024,17:00,Independiente,Racing Club,Argentina - Copa LPF 2024,Libertadores de América,foul,2,90,3,Independiente,Mauricio Isla,-0.31,-0.91,-1.0,Ignacio Galván,,,,
