date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,1,4,42,Sarmiento,José Mauri,0.13,0.25,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,1,11,16,Barracas Central,Rodrigo Insúa,0.32,0.21,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,1,33,29,Barracas Central,Rodrigo Herrera,0.39,-0.52,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,1,45,18,Sarmiento,Jeremías Vallejos,-0.27,0.67,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,1,45,18,Barracas Central,Siro Rosané,-0.08,-0.06,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,2,60,27,Barracas Central,Facundo Mater,-0.86,0.65,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,2,60,56,Sarmiento,Maico Quiroz,0.24,0.25,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,2,60,48,Barracas Central,Nicolás Capraro,-0.41,0.43,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,2,62,39,Sarmiento,David Gallardo,0.12,0.37,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,2,76,34,Sarmiento,Lisandro López,0.27,0.78,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,2,79,37,Sarmiento,Alfredo Amarilla,0.77,-0.38,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,steal,2,91,39,Sarmiento,Maico Quiroz,0.04,0.13,-1.0,,,,,
24-02-2024,22:00,Sarmiento,Barracas Central,Argentina - Copa LPF 2024,El Cobre,foul,1,1,52,Sarmiento,Sergio Quiroga,0.1,-0.2,-1.0,Siro Rosané,,,,
