date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,1,37,Unión,Joaquín Mosqueira,-0.44,0.26,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,8,2,Unión,Mauro Pittón,-0.06,0.35,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,12,47,Unión,Mateo Del Blanco,0.42,-0.86,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,17,14,Unión,Joaquín Mosqueira,-0.31,0.47,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,25,31,Unión,Mauro Luna Diale,-0.16,-0.66,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,25,48,Unión,Mauro Luna Diale,0.04,-0.2,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,29,55,Unión,Mauro Pittón,-0.44,0.56,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,30,30,Unión,Mateo Del Blanco,-0.04,-0.9,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,38,39,Independiente Riv. (M),Luciano Abecasis,0.1,-0.74,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,1,44,51,Unión,Lucas Gamba,-0.4,0.44,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,45,13,Unión,Mauro Pittón,0.16,-0.29,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,46,58,Unión,Federico Vera,-0.15,-0.59,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,48,33,Unión,Franco Pardo,0.4,0.56,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,50,52,Unión,Mauro Pittón,-0.26,-0.53,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,55,15,Unión,Claudio Corvalán,0.9,0.46,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,64,27,Unión,Federico Vera,0.68,-0.89,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,67,21,Unión,Franco Pardo,0.5,-0.53,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,79,39,Unión,Franco Pardo,0.61,0.41,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,83,50,Unión,Jerónimo Dómina,0.07,-0.72,-1.0,,,,,
24-02-2024,22:00,Unión,Independiente Riv. (M),Argentina - Copa LPF 2024,15 de abril,steal,2,84,2,Independiente Riv. (M),Tomás Palacios,-0.64,-0.73,-1.0,,,,,
