date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,15,34,Estudiantes,Federico Fernández,0.71,-0.47,-1.0,,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,24,13,Estudiantes,Enzo Pérez,-0.18,0.46,-1.0,,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,63,42,Gimnasia,Pablo De Blasis,0.1,-0.38,-1.0,,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,69,28,Gimnasia,Pablo De Blasis,0.02,0.71,-1.0,,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,75,57,Estudiantes,Federico Fernández,-0.85,0.41,-1.0,,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,91,35,Estudiantes,Gastón Benedetti,-0.62,-0.83,-1.0,,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,91,22,Gimnasia,Lautaro Chávez,0.4,-0.65,-1.0,,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,1,0,Estudiantes,Javier Altamirano,0.46,-0.62,-1.0,Yonatan Rodríguez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,4,3,Gimnasia,Pablo De Blasis,0.74,0.74,-1.0,Zaid Romero,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,5,41,Gimnasia,Felipe Sánchez,-0.4,-0.56,-1.0,Javier Correa,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,21,38,Gimnasia,Benjamín Domínguez,0.35,-0.73,-1.0,Enzo Pérez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,25,39,Estudiantes,José Sosa,0.38,0.31,-1.0,Pablo De Blasis,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,29,1,Estudiantes,Javier Correa,-0.32,0.52,-1.0,Yonatan Rodríguez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,30,10,Estudiantes,Javier Correa,-0.22,-0.65,-1.0,Yonatan Rodríguez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,32,17,Estudiantes,Enzo Pérez,0.27,-0.5,-1.0,Yonatan Rodríguez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,35,10,Gimnasia,Ivo Mammini,0.36,0.61,-1.0,José Sosa,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,40,40,Estudiantes,Enzo Pérez,0.29,-0.43,-1.0,Pablo De Blasis,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,42,59,Gimnasia,Yonatan Rodríguez,-0.18,-0.5,-1.0,Enzo Pérez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,45,21,Estudiantes,Eros Mancuso,0.5,0.76,-1.0,Gustavo Canto,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,45,56,Gimnasia,Ivo Mammini,-0.58,0.74,-1.0,Federico Fernández,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,46,32,Gimnasia,Yonatan Rodríguez,0.43,0.26,-1.0,Javier Correa,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,49,20,Gimnasia,Leonardo Morales,-0.14,-0.64,-1.0,Mauro Méndez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,49,49,Gimnasia,Gustavo Canto,0.38,0.66,-1.0,Eros Mancuso,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,52,0,Gimnasia,Yonatan Rodríguez,-0.39,0.06,-1.0,José Sosa,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,57,48,Gimnasia,Pablo De Blasis,-0.2,0.67,-1.0,Enzo Pérez,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,59,25,Gimnasia,Benjamín Domínguez,-0.42,0.53,-1.0,Javier Altamirano,,,,
25-02-2024,19:30,Gimnasia,Estudiantes,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,59,51,Gimnasia,Ivo Mammini,-0.3,0.55,-1.0,Enzo Pérez,,,,
