date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,0,13,Godoy Cruz,Salomón Rodríguez,0.65,0.47,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,1,35,Instituto,Giuliano Cerato,-0.65,0.73,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,5,33,Instituto,Roberto Bochi,-0.32,0.73,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,9,20,Godoy Cruz,Vicente Poggi,0.62,-0.59,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,16,8,Instituto,Roberto Bochi,-0.42,-0.08,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,21,36,Instituto,Giuliano Cerato,-0.39,0.71,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,24,1,Instituto,Giuliano Cerato,-0.28,0.85,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,24,40,Godoy Cruz,Braian Salvareschi,0.57,0.06,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,26,52,Instituto,Roberto Bochi,0.14,0.2,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,28,24,Instituto,Gastón Lodico,0.46,-0.77,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,30,47,Instituto,Ignacio Russo,0.43,0.28,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,32,6,Instituto,Roberto Bochi,0.21,0.32,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,32,12,Godoy Cruz,Martín Luciano,0.32,0.64,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,33,6,Instituto,Giuliano Cerato,-0.62,0.62,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,37,52,Instituto,Roberto Bochi,-0.12,0.52,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,46,55,Instituto,Jonás Acevedo,0.58,0.21,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,50,58,Instituto,Roberto Bochi,0.41,-0.02,-1.0,,,,,
25-02-2024,22:00,Instituto,Godoy Cruz,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,52,44,Instituto,Roberto Bochi,0.42,-0.52,-1.0,,,,,
