date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,21,33,Lanús,Raúl Loaiza,0.28,0.5,-1.0,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,34,4,Banfield,Ezequiel Cañete,0.25,0.42,-1.0,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,45,23,Banfield,Jesús Soraire,0.15,0.5,-1.0,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,68,43,Lanús,Walter Bou,-0.14,-0.5,-1.0,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,77,22,Lanús,Walter Bou,-0.24,-0.3,-1.0,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,2,26,Banfield,Ezequiel Cañete,-0.28,0.44,-1.0,Raúl Loaiza,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,4,29,Banfield,Ignacio Rodríguez,0.39,0.65,-1.0,Marcelino Moreno,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,15,31,Banfield,Yvo Calleros,-0.24,0.39,-1.0,Augusto Lotti,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,19,11,Lanús,Luciano Boggio,-0.35,-0.55,-1.0,Gerónimo Rivera,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,24,3,Banfield,Gerónimo Rivera,0.31,0.77,-1.0,Julio César Soler,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,25,12,Lanús,Braian Aguirre,0.13,-0.54,-1.0,Gerónimo Rivera,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,32,43,Lanús,Raúl Loaiza,0.11,-0.72,-1.0,Jesús Soraire,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,34,7,Lanús,Walter Bou,0.32,0.53,-1.0,Ezequiel Cañete,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,35,22,Banfield,Jesús Soraire,-0.35,-0.61,-1.0,Augusto Lotti,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,38,59,Banfield,Jesús Soraire,0.27,-0.63,-1.0,Raúl Loaiza,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,43,20,Lanús,Luciano Boggio,-0.42,0.63,-1.0,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,44,41,Banfield,Gerónimo Rivera,-0.54,-0.78,-1.0,Julio César Soler,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,2,51,8,Banfield,Jesús Soraire,0.39,0.78,-1.0,Julio César Soler,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,2,53,19,Banfield,Aarón Quirós,-0.35,0.65,-1.0,Luciano Boggio,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,2,55,43,Lanús,Raúl Loaiza,,,,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,2,58,25,Banfield,Ignacio Rodríguez,,,,,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,2,65,56,Lanús,Raúl Loaiza,0.29,0.75,-1.0,Gerónimo Rivera,,,,
25-02-2024,22:00,Lanús,Banfield,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,2,68,6,Lanús,Jonatan Torres,-0.76,-0.02,-1.0,Milton Giménez,,,,
