date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,8,27,Rosario Central,Mauricio Martínez,0.51,0.64,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,10,34,Rosario Central,Damián Martínez,0.6,-0.73,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,13,16,Rosario Central,Tobías Cervera,0.58,0.32,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,14,5,Rosario Central,Facundo Mallo,0.49,-0.09,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,19,32,Rosario Central,Jonatan Gómez,0.24,-0.15,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,22,27,Newell`s,Rodrigo Fernández,-0.25,-0.04,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,22,37,Rosario Central,Agustín Sández,0.4,0.47,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,28,9,Rosario Central,Damián Martínez,0.8,-0.63,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,29,18,Rosario Central,Agustín Sández,0.64,0.38,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,30,5,Rosario Central,Mauricio Martínez,0.29,-0.24,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,39,44,Rosario Central,Agustín Sández,0.56,0.82,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,42,51,Rosario Central,Tobías Cervera,-0.54,0.41,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,46,4,Newell`s,Guillermo May,-0.12,0.34,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,54,13,Newell`s,Rodrigo Fernández,0.76,-0.81,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,54,21,Rosario Central,Jaminton Campaz,0.49,-0.58,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,62,26,Rosario Central,Maximiliano Lovera,-0.3,0.27,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,66,20,Rosario Central,Facundo Mallo,-0.69,-0.03,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,67,26,Rosario Central,Maximiliano Lovera,-0.31,0.46,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,69,27,Rosario Central,Agustín Sández,-0.92,-0.7,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,72,27,Rosario Central,Tomás O'Connor,-0.55,-0.25,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,73,25,Rosario Central,Tomás O'Connor,0.51,-0.38,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,76,1,Newell`s,Giovani Chiaverano,-0.23,-0.46,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,76,7,Rosario Central,Tomás O'Connor,-0.24,-0.44,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,78,47,Rosario Central,Jaminton Campaz,-0.81,-0.86,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,88,51,Newell`s,Víctor Velázquez,0.33,-0.51,-1.0,,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,7,16,Rosario Central,Jonatan Gómez,-0.42,0.7,-1.0,Francisco González,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,8,30,Newell`s,Brian Aguirre,0.47,0.83,-1.0,Mauricio Martínez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,9,13,Rosario Central,Tobías Cervera,-0.46,-0.02,-1.0,Julián Fernández,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,9,33,Rosario Central,Tobías Cervera,0.1,0.68,-1.0,Rodrigo Fernández,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,10,47,Newell`s,Ángelo Martino,0.33,-0.34,-1.0,Ignacio Malcorra,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,12,35,Rosario Central,Jaminton Campaz,0.22,0.86,-1.0,Armando Méndez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,13,25,Newell`s,Brian Aguirre,0.45,0.49,-1.0,Tobías Cervera,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,15,24,Newell`s,Juan Ignacio Ramírez,0.77,0.2,-1.0,Agustín Sández,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,16,3,Newell`s,Guillermo May,-0.23,-0.42,-1.0,Damián Martínez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,19,37,Newell`s,Julián Fernández,0.19,-0.04,-1.0,Jonatan Gómez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,21,1,Newell`s,Armando Méndez,-0.16,0.74,-1.0,Jonatan Gómez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,23,55,Newell`s,Julián Fernández,-0.11,-0.27,-1.0,Jonatan Gómez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,27,12,Rosario Central,Carlos Quintana,-0.82,0.05,-1.0,Ian Glavinovich,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,30,9,Newell`s,Juan Ignacio Ramírez,0.13,-0.12,-1.0,Mauricio Martínez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,31,3,Rosario Central,Ignacio Malcorra,-0.27,-0.63,-1.0,Julián Fernández,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,38,33,Newell`s,Guillermo May,0.45,-0.71,-1.0,Jonatan Gómez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,40,32,Newell`s,Rodrigo Fernández,0.46,0.89,-1.0,Tobías Cervera,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,42,54,Newell`s,Rodrigo Fernández,-0.44,0.65,-1.0,Tobías Cervera,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,44,12,Rosario Central,Tobías Cervera,-0.85,0.03,-1.0,Ramiro Macagno,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,46,33,Rosario Central,Luca Martínez Dupuy,-0.32,0.16,-1.0,Rodrigo Fernández,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,49,51,Newell`s,Juan Ignacio Ramírez,0.39,0.45,-1.0,Jonatan Gómez,,,,
25-02-2024,19:45,Newell`s,Rosario Central,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,50,40,Rosario Central,Agustín Sández,-0.46,0.08,-1.0,Francisco González,,,,
