date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,0,34,River Plate,Claudio Echeverri,0.23,0.24,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,0,35,Boca Juniors,Cristian Lema,0.44,0.36,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,0,55,River Plate,Esequiel Barco,-0.2,-0.52,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,0,42,Boca Juniors,Cristian Lema,0.57,0.03,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,4,54,Boca Juniors,Ezequiel Fernández,0.32,0.27,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,9,37,River Plate,Ignacio Fernández,0.29,0.09,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,13,34,River Plate,Esequiel Barco,-0.61,-0.25,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,13,40,Boca Juniors,Ezequiel Fernández,-0.04,-0.22,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,15,2,Boca Juniors,Jabes Saralegui,0.27,0.16,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,16,30,River Plate,Enzo Díaz,-0.21,-0.88,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,16,26,Boca Juniors,Ezequiel Fernández,-0.25,-0.11,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,18,9,Boca Juniors,Ezequiel Fernández,0.4,0.26,-1.0,,,,,
25-02-2024,17:00,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,22,23,Boca Juniors,Nicolás Figal,0.79,0.33,-1.0,,,,,
