date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,2,5,Argentinos Juniors,Luciano Gondou,-0.52,0.1,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,3,16,Argentinos Juniors,Thiago Santamaría,-0.57,0.1,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,3,11,Platense,Iván Gómez,-0.15,-0.29,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,7,37,Argentinos Juniors,Román Vega,-0.46,-0.5,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,7,23,Platense,Leonel Picco,-0.36,0.61,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,13,49,Platense,Ignacio Vázquez,0.32,0.04,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,21,31,Platense,Lisandro Montenegro,0.12,-0.27,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,22,8,Argentinos Juniors,Alan Lescano,-0.31,0.55,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,30,28,Platense,Lisandro Montenegro,0.08,-0.56,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,36,56,Argentinos Juniors,Maximiliano Romero,-0.42,0.56,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,37,19,Platense,Sasha Marcich,0.12,0.75,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,39,29,Argentinos Juniors,Alan Lescano,-0.09,0.57,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,40,6,Platense,Luciano Ferreyra,0.07,-0.4,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,40,35,Argentinos Juniors,Tobías Palacio,-0.71,-0.33,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,40,26,Platense,Leonel Picco,-0.16,-0.63,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,40,53,Platense,Leonel Picco,-0.48,0.05,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,46,33,Platense,Ignacio Vázquez,0.14,-0.44,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,48,8,Argentinos Juniors,Francisco Álvarez,0.78,0.21,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,49,28,Argentinos Juniors,Ariel Gamarra,0.12,-0.47,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,52,38,Argentinos Juniors,Luciano Gondou,0.35,-0.06,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,53,28,Platense,Gastón Suso,-0.51,0.41,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,57,35,Argentinos Juniors,Santiago Montiel,0.37,-0.8,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,59,2,Platense,Ignacio Vázquez,-0.54,0.62,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,62,32,Platense,Iván Gómez,0.15,0.47,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,66,32,Platense,Iván Gómez,0.19,0.57,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,67,7,Argentinos Juniors,Maximiliano Romero,-0.61,0.39,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,74,0,Platense,Carlos Villalba,0.33,-0.14,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,78,31,Platense,Juan Ignacio Saborido,-0.08,0.76,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,82,51,Platense,Sasha Marcich,-0.62,-0.76,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,93,28,Argentinos Juniors,Emiliano Viveros,-0.46,0.26,-1.0,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,2,19,Platense,Iván Gómez,0.0,0.66,-1.0,Nicolás Oroz,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,3,23,Platense,Lisandro Montenegro,-0.2,-0.66,-1.0,Román Vega,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,4,14,Argentinos Juniors,Thiago Santamaría,-0.2,0.83,-1.0,Luciano Ferreyra,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,6,19,Platense,Ignacio Vázquez,0.25,-0.29,-1.0,Luciano Gondou,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,7,37,Platense,Iván Gómez,0.15,-0.42,-1.0,Román Vega,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,10,30,Platense,Maximiliano Urruti,-0.1,0.82,-1.0,Nicolás Oroz,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,31,4,Argentinos Juniors,Tobías Palacio,-0.34,-0.58,-1.0,Maximiliano Urruti,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,34,0,Argentinos Juniors,Alan Lescano,,,,,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,41,14,Platense,Leonel Picco,-0.74,-0.38,-1.0,Tobías Palacio,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,1,44,20,Platense,Sasha Marcich,0.24,0.62,-1.0,Maximiliano Romero,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,45,13,Platense,Ronaldo Martínez,0.46,0.7,-1.0,Román Vega,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,50,20,Argentinos Juniors,Ariel Gamarra,0.13,-0.09,-1.0,Luciano Ferreyra,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,53,54,Platense,Ignacio Vázquez,-0.17,0.41,-1.0,Luciano Gondou,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,58,37,Argentinos Juniors,Alan Lescano,0.02,0.45,-1.0,Gabriel Hachen,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,62,32,Platense,Sasha Marcich,0.03,-0.33,-1.0,Santiago Montiel,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,64,29,Platense,Lisandro Montenegro,0.31,-0.79,-1.0,Santiago Montiel,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,68,42,Platense,Agustín Obando,0.72,0.22,-1.0,Román Vega,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,76,18,Platense,Carlos Villalba,-0.79,-0.73,-1.0,Alan Lescano,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,78,39,Argentinos Juniors,Emiliano Viveros,0.16,0.34,-1.0,Carlos Villalba,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,81,54,Argentinos Juniors,Santiago Montiel,-0.64,0.06,-1.0,Juan Pablo Cozzani,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,83,18,Argentinos Juniors,Franco Moyano,-0.29,-0.45,-1.0,Mateo Pellegrino,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,88,20,Argentinos Juniors,Santiago Montiel,-0.02,-0.77,-1.0,Sasha Marcich,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,89,51,Argentinos Juniors,Santiago Montiel,0.24,-0.52,-1.0,Agustín Obando,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,92,30,Platense,Gastón Suso,-0.31,-0.18,-1.0,Luciano Gondou,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,93,4,Platense,Carlos Villalba,-0.64,-0.92,-1.0,Santiago Montiel,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,foul,2,93,54,Platense,Gastón Suso,0.17,-0.89,-1.0,Luciano Gondou,,,,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,4,41,Platense,Gastón Suso,-0.75,-0.27,-1.0,Diego Rodríguez,-0.95,-0.15,0.28,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,11,45,Argentinos Juniors,Alan Lescano,0.68,0.18,-1.0,,0.99,-0.1,0.14,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,17,20,Platense,Lisandro Montenegro,-0.57,-0.33,-1.0,Diego Rodríguez,-0.96,-0.12,0.1,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,21,1,Argentinos Juniors,Tobías Palacio,0.71,0.07,-1.0,,0.99,-0.35,-1.0,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,24,41,Platense,Gabriel Hachen,-0.6,-0.02,-1.0,Tobías Palacio,-0.66,-0.01,0.04,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,26,42,Argentinos Juniors,Thiago Santamaría,0.52,0.42,-1.0,,0.98,-0.12,0.77,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,31,55,Platense,Ignacio Vázquez,-0.78,0.46,-1.0,Thiago Santamaría,-0.82,0.43,0.22,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,39,54,Argentinos Juniors,Tobías Palacio,0.75,0.06,-1.0,Gastón Suso,0.83,-0.09,0.09,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,42,42,Argentinos Juniors,Leonardo Heredia,0.72,0.12,-1.0,,1.0,0.2,-1.0,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,12,30,Argentinos Juniors,Alan Lescano,0.35,-0.48,-1.0,,0.99,0.39,-1.0,
26-02-2024,19:30,Argentinos Juniors,Platense,Argentina - Copa LPF 2024,Diego Armando Maradona,shot,1,17,30,Platense,Leonel Picco,-0.33,-0.28,-1.0,Ariel Gamarra,-0.38,-0.25,0.21,
