date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,0,46,Central Córdoba (SE),Pablo Minissale,0.02,-0.66,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,1,17,Central Córdoba (SE),Fernando Torrent,-0.32,0.14,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,4,35,Atlético Tucumán,Agustín Lagos,0.44,-0.82,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,6,31,Atlético Tucumán,Renzo Tesuri,-0.07,-0.72,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,9,43,Atlético Tucumán,Mateo Coronel,-0.04,0.52,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,13,29,Atlético Tucumán,Nicolás Romero,0.84,0.63,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,13,21,Central Córdoba (SE),Rodrigo Atencio,0.39,0.75,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,13,49,Central Córdoba (SE),Sebastián Valdez,-0.62,-0.68,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,14,0,Central Córdoba (SE),Enzo Kalinski,-0.4,-0.23,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,16,10,Atlético Tucumán,Néstor Breitenbruch,0.02,-0.57,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,29,30,Central Córdoba (SE),Juan Andrés Meli,-0.25,-0.51,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,33,50,Atlético Tucumán,Néstor Breitenbruch,0.54,0.08,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,35,5,Central Córdoba (SE),Fernando Torrent,-0.33,0.66,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,38,36,Atlético Tucumán,Néstor Breitenbruch,0.34,-0.54,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,39,23,Central Córdoba (SE),Juan Andrés Meli,-0.38,-0.74,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,40,46,Atlético Tucumán,Nicolás Romero,0.4,0.29,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,43,6,Central Córdoba (SE),Dardo Miloc,-0.24,0.27,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,45,43,Atlético Tucumán,Nicolás Romero,0.77,0.37,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,46,5,Central Córdoba (SE),Tomás Molina,0.71,0.37,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,45,42,Atlético Tucumán,Agustín Lagos,-0.37,0.55,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,47,18,Atlético Tucumán,Guillermo Acosta,0.18,-0.41,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,48,53,Atlético Tucumán,Agustín Lagos,-0.21,0.4,-1.0,,,,,
26-02-2024,21:45,Central Córdoba (SE),Atlético Tucumán,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,50,7,Atlético Tucumán,Guillermo Acosta,-0.27,-0.42,-1.0,,,,,
