date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,1,15,0,Dep. Riestra,Jonatan Goitía,0.39,-0.22,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,1,16,44,Dep. Riestra,Nicolás Caro Torres,0.76,0.81,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,1,17,34,Dep. Riestra,Jonatan Goya,-0.32,0.6,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,1,20,52,Defensa y Justicia,Santiago Ramos Mingo,-0.69,0.39,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,1,44,39,Dep. Riestra,Pedro Ramírez,0.59,0.63,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,1,46,22,Dep. Riestra,Jonathan Herrera,0.2,0.78,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,2,51,40,Dep. Riestra,Jonatan Goitía,-0.01,-0.53,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,2,60,44,Dep. Riestra,Jonatan Goitía,0.61,0.92,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,2,76,27,Defensa y Justicia,Santiago Ramos Mingo,0.15,0.42,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,2,84,58,Dep. Riestra,Gustavo Fernández,-0.54,-0.86,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,steal,2,92,56,Dep. Riestra,Tomás Villoldo,-0.85,-0.5,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,1,5,28,Defensa y Justicia,Santiago Ramos Mingo,-0.29,-0.15,-1.0,Nicolás Benegas,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,1,22,20,Dep. Riestra,Jonatan Goitía,0.4,-0.81,-1.0,,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,1,25,38,Defensa y Justicia,Julián López,0.09,0.61,-1.0,Nicolás Benegas,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,1,28,41,Dep. Riestra,Pedro Ramírez,0.55,0.49,-1.0,Luciano Herrera,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,1,39,37,Dep. Riestra,Nicolás Benegas,-0.74,-0.15,-1.0,Santiago Ramos Mingo,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,1,45,24,Dep. Riestra,Nicolás Benegas,-0.14,-0.17,-1.0,Santiago Ramos Mingo,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,2,72,52,Defensa y Justicia,Santiago Ramos Mingo,0.32,0.17,-1.0,José Méndez,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,2,78,23,Defensa y Justicia,Benjamín Schamine,0.29,0.14,-1.0,Jonatan Goitía,,,,
26-02-2024,19:00,Defensa y Justicia,Dep. Riestra,Argentina - Copa LPF 2024,General San Martín,foul,2,83,24,Dep. Riestra,José Méndez,0.11,0.71,-1.0,Alexis Soto,,,,
