date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,0,18,Vélez,Agustín Bouzat,-0.15,0.42,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,0,33,Tigre,Ezequiel Forclaz,0.19,-0.79,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,1,58,Vélez,Rodrigo Piñeiro,0.34,-0.86,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,2,27,Vélez,Braian Romero,0.36,-0.68,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,5,7,Vélez,Leonardo Jara,0.44,0.82,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,7,30,Tigre,Nahuel Génez,0.19,0.57,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,10,35,Tigre,Martín Garay,0.58,-0.86,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,14,58,Tigre,Ezequiel Forclaz,0.26,-0.78,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,15,25,Vélez,Leonardo Jara,-0.33,0.55,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,16,27,Tigre,Agustín Cardozo,0.78,0.46,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,20,45,Vélez,Elías Gómez,-0.42,-0.5,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,21,16,Vélez,Claudio Aquino,0.28,-0.75,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,22,46,Vélez,Claudio Aquino,-0.63,-0.48,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,23,2,Tigre,Ezequiel Forclaz,-0.3,-0.79,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,23,35,Tigre,Martín Ortega,0.26,-0.81,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,24,24,Vélez,Elías Gómez,-0.62,0.17,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,25,25,Vélez,Valentín Gómez,-0.58,-0.38,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,29,34,Vélez,Christian Ordóñez,-0.4,-0.19,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,34,29,Vélez,Claudio Aquino,-0.23,-0.59,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,35,45,Vélez,Agustín Bouzat,0.22,-0.58,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,35,56,Tigre,Martín Ortega,0.93,-0.64,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,36,47,Tigre,Agustín Cardozo,-0.28,-0.9,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,37,34,Tigre,Gian Nardelli,-0.25,-0.72,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,41,4,Vélez,Rodrigo Piñeiro,0.36,0.54,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,43,46,Vélez,Agustín Bouzat,-0.57,0.61,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,43,55,Tigre,Juan Cruz Esquivel,0.11,0.62,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,44,48,Tigre,Gian Nardelli,0.08,-0.72,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,45,37,Tigre,Agustín Cardozo,0.42,-0.13,-1.0,,,,,
26-02-2024,21:30,Vélez,Tigre,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,46,19,Vélez,Leonardo Jara,0.55,-0.62,-1.0,,,,,
