date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,steal,1,1,43,Banfield,Ignacio Rodríguez,-0.2,-0.2,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,steal,1,20,14,Dep. Riestra,Walter Acuña,0.63,-0.61,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,steal,1,29,50,Banfield,,-0.35,-0.08,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,steal,1,42,19,Dep. Riestra,Maximiliano Rodríguez,0.64,0.82,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,steal,2,49,11,Dep. Riestra,Alan Barrionuevo,-0.6,-0.01,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,steal,2,53,52,Dep. Riestra,Milton Céliz,-0.33,0.47,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,steal,2,81,25,Dep. Riestra,José Méndez,0.22,0.28,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,4,4,Dep. Riestra,Nicolás Benegas,0.13,-0.1,-1.0,Yvo Calleros,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,6,33,Dep. Riestra,Walter Acuña,0.24,-0.79,-1.0,,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,8,33,Dep. Riestra,Jonathan Herrera,-0.82,-0.48,-1.0,Aarón Quirós,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,10,45,Banfield,,0.23,-0.62,-1.0,Walter Acuña,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,14,34,Banfield,,0.26,-0.62,-1.0,Nicolás Benegas,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,15,58,Banfield,Jesús Soraire,0.22,-0.41,-1.0,Jonatan Goitía,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,27,23,Dep. Riestra,Jonathan Herrera,-0.32,0.14,-1.0,Jesús Soraire,,,,
01-03-2024,21:15,Banfield,Dep. Riestra,Argentina - Copa LPF 2024,Florencio Sola,foul,1,30,3,Dep. Riestra,Maximiliano Rodríguez,-0.36,0.7,-1.0,Braian Galván,,,,
