date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,1,47,Platense,Gastón Suso,-0.43,-0.14,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,9,3,Racing Club,Gabriel Rojas,0.96,0.77,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,11,31,Platense,Carlos Villalba,-0.3,0.35,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,15,51,Platense,Gastón Suso,-0.49,-0.49,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,17,10,Platense,Leonel Picco,0.17,0.01,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,25,20,Racing Club,Agustín Almendra,0.48,0.78,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,25,30,Platense,Leonel Picco,-0.6,0.39,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,27,13,Platense,Leonel Picco,-0.54,-0.08,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,27,45,Platense,Iván Gómez,0.19,-0.49,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,32,26,Racing Club,Gabriel Rojas,-0.34,-0.02,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,35,2,Platense,Juan Ignacio Saborido,-0.46,0.63,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,42,52,Racing Club,Baltasar Rodríguez,-0.1,-0.62,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,43,0,Platense,Ignacio Vázquez,-0.61,0.54,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,49,46,Platense,Iván Gómez,0.44,-0.23,-1.0,,,,,
01-03-2024,21:15,Platense,Racing Club,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,50,4,Platense,Carlos Villalba,0.33,-0.1,-1.0,,,,,
