date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,1,39,Central Córdoba (SE),Rodrigo Atencio,0.32,0.57,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,7,9,Central Córdoba (SE),Tomás Molina,0.14,-0.72,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,10,19,Tigre,Martín Garay,-0.23,0.4,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,12,14,Tigre,Agustín Cardozo,0.38,0.66,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,12,7,Central Córdoba (SE),Fernando Torrent,0.83,0.62,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,14,26,Tigre,Brahian Alemán,0.03,-0.08,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,14,16,Central Córdoba (SE),Dardo Miloc,0.46,0.73,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,14,46,Tigre,Brahian Alemán,-0.13,-0.24,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,28,25,Tigre,Gian Nardelli,-0.42,0.74,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,30,12,Central Córdoba (SE),Mateo Sanabria,0.39,0.35,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,34,58,Central Córdoba (SE),Enzo Kalinski,-0.2,-0.39,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,40,25,Tigre,Martín Garay,-0.4,-0.43,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,41,29,Tigre,Brahian Alemán,-0.43,0.63,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,41,15,Central Córdoba (SE),Dardo Miloc,0.35,0.35,-1.0,,,,,
01-03-2024,19:00,Tigre,Central Córdoba (SE),Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,45,9,Tigre,Nahuel Génez,0.08,-0.51,-1.0,,,,,
