date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,0,12,Atlético Tucumán,Agustín Lagos,0.03,0.57,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,3,17,Atlético Tucumán,Justo Giani,0.38,0.04,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,4,42,Atlético Tucumán,Justo Giani,0.2,0.06,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,19,19,Atlético Tucumán,Justo Giani,-0.64,-0.4,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,19,44,Atlético Tucumán,Adrián Sánchez,-0.01,0.16,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,20,11,Vélez,Elías Gómez,0.69,0.7,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,32,38,Vélez,Emanuel Mammana,0.85,-0.63,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,39,58,Atlético Tucumán,Francisco Flores,-0.58,0.29,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,52,59,Atlético Tucumán,Adrián Sánchez,-0.09,0.13,-1.0,,,,,
02-03-2024,19:00,Atlético Tucumán,Vélez,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,63,53,Atlético Tucumán,Nicolás Castro,-0.47,-0.34,-1.0,,,,,
