date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,1,4,Independiente,Ayrton Costa,-0.65,-0.72,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,9,42,Independiente,Mauricio Isla,-0.33,0.66,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,13,45,Independiente,Iván Marcone,-0.59,-0.69,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,14,45,Independiente,Joaquín Laso,-0.45,-0.41,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,20,22,Independiente,Federico Mancuello,0.01,-0.58,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,21,53,Independiente,Lucas González,0.32,0.57,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,25,35,Argentinos Juniors,Franco Moyano,0.19,-0.17,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,35,27,Independiente,Gabriel Ávalos,0.32,-0.03,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,36,42,Independiente,Iván Marcone,-0.4,-0.13,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,40,14,Argentinos Juniors,Luciano Gondou,-0.4,-0.07,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,1,42,29,Argentinos Juniors,Román Vega,0.83,0.43,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,45,16,Independiente,Gabriel Neves,-0.1,-0.19,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,48,7,Independiente,Ayrton Costa,-0.26,0.64,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,48,36,Independiente,Ayrton Costa,-0.22,0.72,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,57,53,Independiente,Ayrton Costa,-0.32,0.69,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,62,11,Independiente,Ayrton Costa,0.25,0.69,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,68,2,Independiente,Mauricio Isla,0.5,-0.56,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,75,17,Independiente,Mauricio Isla,-0.51,-0.42,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,83,15,Independiente,Damián Pérez,-0.6,0.73,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,88,28,Independiente,David Martínez,0.34,0.02,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,91,44,Independiente,Juan Manuel Fedorco,0.47,-0.19,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,steal,2,94,40,Independiente,Felipe Aguilar,0.48,-0.5,-1.0,,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,10,12,Argentinos Juniors,Gastón Verón,-0.39,-0.04,-1.0,Iván Marcone,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,17,25,Argentinos Juniors,Román Vega,0.07,0.08,-1.0,Lucas González,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,23,30,Argentinos Juniors,Francisco Álvarez,-0.18,-0.47,-1.0,Gabriel Ávalos,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,24,31,Independiente,Ayrton Costa,0.61,-0.44,-1.0,Franco Moyano,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,30,30,Argentinos Juniors,Luciano Gondou,0.26,-0.81,-1.0,Ayrton Costa,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,33,1,Argentinos Juniors,Emiliano Viveros,-0.47,-0.78,-1.0,Ayrton Costa,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,39,23,Independiente,Lucas González,0.31,-0.36,-1.0,Franco Moyano,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,1,41,1,Argentinos Juniors,Alan Lescano,-0.16,0.02,-1.0,Lucas González,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,47,3,Independiente,Gabriel Ávalos,-0.7,-0.42,-1.0,Román Vega,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,48,39,Argentinos Juniors,Emiliano Viveros,-0.18,0.82,-1.0,Federico Mancuello,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,49,3,Argentinos Juniors,Maximiliano Romero,-0.76,0.32,-1.0,Gabriel Ávalos,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,52,34,Independiente,Gabriel Ávalos,-0.05,0.84,-1.0,Emiliano Viveros,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,56,32,Independiente,Gabriel Neves,0.16,-0.74,-1.0,Gastón Verón,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,57,51,Argentinos Juniors,Luciano Gondou,-0.2,0.67,-1.0,Ayrton Costa,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,62,25,Independiente,Lucas González,-0.16,0.66,-1.0,Alan Lescano,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,71,17,Independiente,Alex Luna,0.57,-0.6,-1.0,Santiago Montiel,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,84,31,Argentinos Juniors,Tobías Palacio,-0.37,-0.22,-1.0,Gabriel Ávalos,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,92,29,Argentinos Juniors,Francisco Álvarez,0.29,0.14,-1.0,David Martínez,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,foul,2,94,24,Independiente,Matías Giménez,-0.13,0.66,-1.0,José María Herrera,,,,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,shot,1,1,44,Independiente,Lucas González,0.42,0.3,-1.0,Tobías Palacio,0.72,0.14,0.15,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,shot,1,16,47,Argentinos Juniors,Alan Lescano,-0.36,0.25,-1.0,,-1.0,0.01,-1.0,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,shot,1,18,59,Argentinos Juniors,Emiliano Viveros,-0.37,-0.08,-1.0,,-0.99,-0.18,-1.0,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,shot,1,22,7,Independiente,Gabriel Ávalos,0.92,-0.03,-1.0,,0.99,0.0,-1.0,
02-03-2024,19:15,Independiente,Argentinos Juniors,Argentina - Copa LPF 2024,Libertadores de América,shot,1,22,3,Independiente,Gabriel Ávalos,0.91,-0.02,-1.0,Diego Rodríguez,0.98,-0.02,0.64,
