date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,0,25,Unión,Mauro Luna Diale,0.38,0.76,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,2,18,Sarmiento,Iván Morales,0.32,0.29,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,2,41,Unión,Joaquín Mosqueira,0.54,0.53,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,11,15,Sarmiento,José Mauri,0.12,0.18,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,18,54,Unión,Bruno Pittón,0.25,0.85,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,21,19,Unión,Mauro Luna Diale,-0.41,0.39,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,33,33,Unión,Franco Pardo,0.43,0.29,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,33,31,Sarmiento,Fernando Godoy,0.26,0.34,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,37,40,Unión,Tiago Banega,0.36,-0.82,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,38,31,Sarmiento,Fernando Godoy,-0.42,0.35,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,40,30,Sarmiento,Lisandro López,-0.66,0.77,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,43,18,Unión,Joaquín Mosqueira,0.25,-0.51,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,1,47,33,Sarmiento,Juan Cruz Guasone,-0.85,0.79,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,2,48,57,Unión,Joaquín Mosqueira,0.21,-0.19,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,2,50,44,Unión,Mauro Luna Diale,-0.3,0.26,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,2,51,54,Sarmiento,José Mauri,0.41,0.64,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,2,58,58,Unión,Mauro Pittón,0.48,0.47,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,2,68,1,Sarmiento,Gabriel Díaz,0.38,0.75,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,2,72,21,Unión,Bruno Pittón,-0.03,-0.38,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,steal,2,93,52,Sarmiento,Alfredo Amarilla,0.88,-0.75,-1.0,,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,2,5,Sarmiento,Emanuel Hernández,0.13,-0.77,-1.0,Gonzalo Morales,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,2,53,Sarmiento,Iván Morales,0.24,0.74,-1.0,Mateo Del Blanco,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,10,35,Unión,Lucas Gamba,-0.75,0.47,-1.0,Franco Paredes,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,14,4,Sarmiento,Fernando Godoy,-0.1,-0.14,-1.0,Mauro Pittón,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,26,31,Sarmiento,Fernando Godoy,0.38,-0.76,-1.0,Mauro Luna Diale,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,33,38,Sarmiento,Fernando Godoy,0.28,0.58,-1.0,Mauro Luna Diale,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,46,53,Unión,Tiago Banega,0.43,-0.84,-1.0,Lisandro López,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,1,47,37,Unión,Lucas Gamba,-0.91,0.82,-1.0,Juan Cruz Guasone,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,45,30,Unión,Valentín Fascendini,0.27,-0.59,-1.0,Sergio Quiroga,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,46,0,Sarmiento,Emanuel Hernández,-0.35,0.14,-1.0,Gonzalo Morales,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,48,10,Sarmiento,Fernando Godoy,-0.15,0.63,-1.0,Lucas Gamba,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,59,9,Sarmiento,José Mauri,0.7,0.82,-1.0,Adrián Balboa,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,62,44,Sarmiento,Fernando Godoy,0.78,-0.07,-1.0,Adrián Balboa,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,67,33,Sarmiento,Fernando Godoy,-0.31,-0.43,-1.0,Mauro Luna Diale,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,64,56,Unión,Adrián Balboa,0.43,-0.04,-1.0,Juan Manuel Insaurralde,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,77,51,Unión,Federico Vera,-0.4,0.53,-1.0,Joaquín Gho,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,80,56,Unión,Adrián Balboa,0.3,0.57,-1.0,Emanuel Hernández,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,85,22,Unión,Bruno Pittón,-0.4,0.17,-1.0,Manuel Mónaco,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,87,11,Sarmiento,Franco Paredes,0.39,-0.9,-1.0,Bruno Pittón,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,89,49,Sarmiento,Juan Manuel Insaurralde,-0.87,-0.45,-1.0,Franco Pardo,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,90,56,Unión,Joaquín Mosqueira,-0.47,0.5,-1.0,Yair Arismendi,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,93,10,Sarmiento,Juan Manuel Insaurralde,0.66,-0.7,-1.0,Nicolás Orsini,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,foul,2,93,57,Unión,Adrián Balboa,0.91,-0.76,-1.0,Alfredo Amarilla,,,,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,1,16,7,Unión,Valentín Fascendini,-0.87,-0.16,-1.0,,-1.0,-0.06,-1.0,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,1,24,1,Unión,Bruno Pittón,-0.77,0.26,-1.0,Juan Cruz Guasone,-0.83,0.21,0.27,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,1,30,7,Sarmiento,José Mauri,0.43,0.11,-1.0,,0.99,-0.5,-1.0,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,1,32,15,Sarmiento,Lisandro López,0.72,-0.46,-1.0,Nicolás Paz,0.74,-0.4,0.2,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,1,34,17,Sarmiento,Lisandro López,0.77,0.05,-1.0,,1.0,0.07,0.77,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,1,40,8,Unión,Mauro Luna Diale,-0.41,0.05,-1.0,Juan Cruz Guasone,-0.62,0.06,0.48,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,1,44,59,Unión,Gonzalo Morales,-0.7,0.06,-1.0,,-0.98,-0.03,-1.0,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,2,46,48,Unión,Joaquín Mosqueira,0.4,-0.06,-1.0,,0.99,-0.05,-1.0,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,2,52,48,Unión,Lucas Gamba,0.45,0.22,-1.0,,1.0,-0.28,-1.0,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,2,53,45,Sarmiento,Franco Paredes,-0.85,-0.46,-1.0,Nicolás Campisi,-0.92,-0.07,0.7,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,2,56,13,Sarmiento,Iván Morales,-0.77,0.44,-1.0,Nicolás Paz,-0.82,0.39,0.16,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,2,64,8,Unión,Lucas Gamba,0.74,0.0,-1.0,,1.0,-0.05,0.15,
02-03-2024,17:00,Sarmiento,Unión,Argentina - Copa LPF 2024,Eva Perón,shot,2,65,45,Sarmiento,Emanuel Hernández,-0.76,0.06,-1.0,,-1.0,0.25,-1.0,
