date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,13,15,Talleres,Miguel Ángel Navarro,0.25,-0.37,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,21,23,Talleres,Juan Gabriel Rodríguez,-0.36,-0.79,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,30,16,Talleres,Matías Catalán,-0.75,0.86,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,38,42,River Plate,Rodrigo Aliendro,0.27,0.07,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,43,45,River Plate,Rodrigo Villagra,0.29,-0.24,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,44,16,Talleres,Juan Camilo Portilla,0.24,0.85,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,52,37,River Plate,Sebastián Boselli,-0.86,0.73,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,53,35,Talleres,Federico Girotti,-0.18,0.31,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,73,45,Talleres,Federico Girotti,0.2,0.33,-1.0,,,,,
02-03-2024,21:30,Talleres,River Plate,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,89,35,Talleres,Alejandro Martínez,-0.4,-0.89,-1.0,,,,,
