date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,1,1,Belgrano,Francisco Facello,-0.31,-0.13,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,5,25,Belgrano,Esteban Rolón,-0.13,0.38,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,7,58,Belgrano,Santiago Longo,0.28,-0.75,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,8,26,Belgrano,Nicolás Meriano,-0.21,-0.14,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,8,34,Belgrano,Santiago Longo,0.4,-0.14,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,9,53,Boca Juniors,Nicolás Figal,-0.25,0.68,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,12,29,Belgrano,Esteban Rolón,-0.26,0.06,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,13,32,Belgrano,Francisco Facello,0.39,-0.53,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,17,28,Belgrano,Esteban Rolón,-0.31,0.08,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,20,3,Belgrano,Matías García,-0.25,0.49,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,26,38,Belgrano,Francisco González Metilli,0.53,0.61,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,27,17,Belgrano,Alex Ibacache,0.08,0.5,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,49,37,Belgrano,Santiago Longo,-0.21,-0.41,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,56,10,Belgrano,Santiago Longo,-0.37,0.15,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,56,40,Belgrano,Esteban Rolón,-0.27,-0.19,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,56,54,Belgrano,Ulises Sánchez,-0.33,0.44,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,57,15,Boca Juniors,Jorman Campuzano,0.67,-0.83,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,58,42,Belgrano,Nicolás Meriano,-0.35,-0.58,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,59,18,Belgrano,Matías Moreno,-0.39,-0.02,-1.0,,,,,
03-03-2024,19:15,Boca Juniors,Belgrano,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,63,32,Belgrano,Matías Moreno,-0.33,0.69,-1.0,,,,,
