date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,1,25,Lanús,Ramiro Carrera,0.46,0.13,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,6,19,Defensa y Justicia,Gabriel Alanís,0.13,0.68,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,7,48,Defensa y Justicia,Alexis Soto,-0.55,-0.83,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,10,20,Defensa y Justicia,Alexis Soto,-0.67,-0.72,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,14,41,Defensa y Justicia,Ezequiel Cannavó,0.29,0.95,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,14,45,Lanús,Felipe Peña Biafore,0.32,0.41,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,19,17,Lanús,Felipe Peña Biafore,-0.13,-0.08,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,21,46,Lanús,Ezequiel Muñoz,0.46,0.15,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,25,5,Lanús,Raúl Loaiza,0.21,0.32,-1.0,,,,,
03-03-2024,17:00,Defensa y Justicia,Lanús,Argentina - Copa LPF 2024,General San Martín,steal,1,25,11,Defensa y Justicia,Nicolás Fernández,0.42,-0.1,-1.0,,,,,
