date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,3,41,Estudiantes,Edwuin Cetré,0.12,0.83,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,4,54,Godoy Cruz,Elías Pereyra,-0.27,-0.27,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,5,2,Estudiantes,Eric Meza,-0.49,-0.53,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,8,14,Godoy Cruz,Vicente Poggi,0.14,-0.4,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,10,53,Godoy Cruz,Salomón Rodríguez,0.35,-0.23,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,10,48,Estudiantes,Javier Altamirano,0.14,-0.65,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,12,28,Estudiantes,Gastón Benedetti,0.18,0.79,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,14,12,Godoy Cruz,Facundo Butti,-0.19,-0.59,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,16,7,Estudiantes,Zaid Romero,0.84,0.79,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,18,4,Godoy Cruz,Nicolás Fernández,0.28,-0.37,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,19,31,Estudiantes,Gastón Benedetti,-0.01,0.48,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,19,38,Godoy Cruz,Facundo Butti,-0.33,-0.09,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,21,25,Godoy Cruz,Salomón Rodríguez,0.35,0.24,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,27,15,Estudiantes,Zaid Romero,0.79,0.86,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,27,24,Godoy Cruz,Nicolás Fernández,-0.17,0.4,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,39,50,Estudiantes,Santiago Ascacíbar,0.43,-0.79,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,40,31,Godoy Cruz,Salomón Rodríguez,0.67,-0.41,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,44,26,Estudiantes,Enzo Pérez,-0.13,-0.62,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,44,30,Godoy Cruz,Bruno Leyes,-0.26,-0.47,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,44,53,Godoy Cruz,Braian Salvareschi,0.25,-0.39,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,45,46,Estudiantes,Santiago Ascacíbar,-0.14,0.46,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,48,22,Godoy Cruz,Facundo Butti,0.4,0.49,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,48,29,Godoy Cruz,Facundo Butti,0.44,0.22,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,52,57,Godoy Cruz,Bruno Leyes,0.11,0.26,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,54,8,Godoy Cruz,Lucas Arce,0.19,-0.36,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,55,8,Godoy Cruz,Braian Salvareschi,0.37,-0.45,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,56,2,Godoy Cruz,Tomás Conechny,-0.33,0.77,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,59,3,Godoy Cruz,Bruno Leyes,-0.01,0.74,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,59,30,Estudiantes,Santiago Ascacíbar,-0.36,0.21,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,60,13,Godoy Cruz,Facundo Altamira,0.35,-0.7,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,62,47,Godoy Cruz,Nicolás Fernández,-0.29,0.05,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,66,14,Estudiantes,Fernando Zuqui,-0.39,0.39,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,67,15,Estudiantes,Fernando Zuqui,0.09,-0.79,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,69,41,Estudiantes,Fernando Zuqui,-0.39,-0.41,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,77,5,Estudiantes,Fernando Zuqui,0.35,-0.47,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,81,7,Estudiantes,Santiago Ascacíbar,-0.04,0.43,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,82,41,Godoy Cruz,Nicolás Fernández,-0.41,0.34,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,82,47,Estudiantes,José Sosa,-0.18,0.76,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,90,26,Estudiantes,Gastón Benedetti,0.09,-0.86,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,93,15,Estudiantes,Gastón Benedetti,-0.15,-0.57,-1.0,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,1,20,Godoy Cruz,Manuel Guillén,-0.25,0.86,-1.0,Edwuin Cetré,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,3,55,Godoy Cruz,Manuel Guillén,0.09,0.75,-1.0,Edwuin Cetré,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,5,55,Godoy Cruz,Vicente Poggi,0.17,-0.62,-1.0,Enzo Pérez,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,16,21,Estudiantes,Tiago Palacios,0.24,0.43,-1.0,Bruno Leyes,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,18,13,Estudiantes,Santiago Ascacíbar,0.29,-0.3,-1.0,Nicolás Fernández,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,21,45,Godoy Cruz,Facundo Altamira,0.85,0.72,-1.0,Gastón Benedetti,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,24,56,Estudiantes,Edwuin Cetré,0.14,0.77,-1.0,Manuel Guillén,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,29,24,Estudiantes,Gastón Benedetti,0.42,0.84,-1.0,Facundo Altamira,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,34,57,Godoy Cruz,Vicente Poggi,0.13,0.37,-1.0,Enzo Pérez,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,41,38,Estudiantes,Tiago Palacios,-0.71,-0.34,-1.0,Facundo Butti,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,37,20,Estudiantes,Javier Altamirano,0.27,0.56,-1.0,Bruno Leyes,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,47,15,Estudiantes,Edwuin Cetré,-0.72,-0.9,-1.0,Lucas Arce,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,49,38,Estudiantes,Tiago Palacios,0.13,-0.5,-1.0,Facundo Altamira,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,54,25,Godoy Cruz,Vicente Poggi,-0.39,-0.22,-1.0,Santiago Ascacíbar,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,56,11,Estudiantes,Eric Meza,-0.2,0.75,-1.0,Facundo Altamira,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,57,54,Estudiantes,Ezequiel Naya,,,,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,60,19,Estudiantes,Tiago Palacios,0.4,-0.42,-1.0,Nicolás Fernández,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,61,21,Godoy Cruz,Facundo Altamira,-0.48,-0.62,-1.0,Gastón Benedetti,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,63,5,Estudiantes,Santiago Ascacíbar,,,,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,66,57,Godoy Cruz,Nicolás Fernández,-0.14,-0.46,-1.0,José Sosa,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,68,15,Godoy Cruz,Hernán López Muñoz,0.31,0.58,-1.0,Santiago Ascacíbar,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,69,55,Estudiantes,Fernando Zuqui,,,,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,74,56,Godoy Cruz,Elías Pereyra,-0.13,0.92,-1.0,Edwuin Cetré,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,78,16,Estudiantes,Fernando Zuqui,0.31,0.61,-1.0,Hernán López Muñoz,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,79,15,Godoy Cruz,Braian Salvareschi,0.18,0.03,-1.0,Ezequiel Naya,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,84,14,Godoy Cruz,Nicolás Fernández,0.24,0.86,-1.0,Edwuin Cetré,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,86,1,Godoy Cruz,Nicolás Fernández,-0.16,-0.34,-1.0,Pablo Piatti,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,87,59,Estudiantes,José Sosa,-0.37,0.69,-1.0,Hernán López Muñoz,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,89,43,Godoy Cruz,Nahuel Ulariaga,,,,,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,91,53,Estudiantes,Ezequiel Naya,0.72,-0.43,-1.0,Lucas Arce,,,,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,2,6,Estudiantes,Javier Altamirano,-0.77,0.18,-1.0,,-0.99,0.09,0.16,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,5,14,Estudiantes,Tiago Palacios,-0.74,0.03,-1.0,,-0.99,0.24,-1.0,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,14,57,Godoy Cruz,Nicolás Fernández,0.47,0.38,-1.0,Enzo Pérez,0.59,0.3,0.48,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,17,22,Estudiantes,Eric Meza,-0.73,-0.38,-1.0,Roberto Ramírez,-0.93,0.03,0.17,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,19,0,Godoy Cruz,Nicolás Fernández,0.35,-0.27,-1.0,,0.99,-0.1,-1.0,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,38,30,Estudiantes,Tiago Palacios,-0.8,0.44,-1.0,,-0.99,-0.07,0.04,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,43,1,Godoy Cruz,Salomón Rodríguez,0.72,-0.17,-1.0,,0.99,-0.15,-1.0,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,44,59,Godoy Cruz,Braian Salvareschi,0.45,-0.11,-1.0,,0.98,0.11,-1.0,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,1,48,1,Godoy Cruz,Nicolás Fernández,0.54,-0.27,-1.0,,0.99,0.06,-1.0,
03-03-2024,17:00,Godoy Cruz,Estudiantes,Argentina - Copa LPF 2024,Malvinas Argentinas,shot,2,47,55,Godoy Cruz,Tomás Conechny,-0.81,-0.13,-1.0,,-0.99,0.11,-1.0,
