date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,2,30,San Lorenzo,Cristian Ferreira,-0.34,0.47,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,2,36,Newell`s,Víctor Velázquez,-0.57,0.36,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,4,28,San Lorenzo,Elián Irala,0.19,-0.55,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,15,19,Newell`s,Rodrigo Fernández,-0.19,-0.44,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,39,2,San Lorenzo,Elián Irala,0.35,-0.69,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,46,41,Newell`s,Brian Aguirre,-0.44,0.7,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,45,51,Newell`s,Ever Banega,-0.24,0.32,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,51,30,Newell`s,Brian Aguirre,0.45,0.77,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,57,27,Newell`s,Franco Díaz,0.47,-0.54,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,58,19,Newell`s,Rodrigo Fernández,-0.42,0.67,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,64,10,Newell`s,Armando Méndez,0.58,-0.8,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,65,21,San Lorenzo,Elián Irala,-0.38,0.61,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,66,28,Newell`s,Franco Díaz,-0.3,0.05,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,73,13,San Lorenzo,Agustín Giay,-0.79,0.81,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,82,50,Newell`s,Ever Banega,-0.07,0.22,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,83,47,San Lorenzo,Gonzalo Luján,-0.46,0.75,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,88,37,Newell`s,Giovani Chiaverano,0.16,-0.61,-1.0,,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,2,55,San Lorenzo,Malcom Braida,-0.49,0.69,-1.0,Armando Méndez,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,5,46,San Lorenzo,Gastón Hernández,-0.92,0.76,-1.0,Franco Díaz,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,6,31,San Lorenzo,Adam Bareiro,-0.07,-0.06,-1.0,Ever Banega,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,10,7,Newell`s,Franco Díaz,0.57,0.78,-1.0,Manuel Insaurralde,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,13,10,San Lorenzo,Adam Bareiro,-0.28,-0.22,-1.0,Rodrigo Fernández,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,19,26,San Lorenzo,Jhohan Romaña,0.18,-0.95,-1.0,Francisco González,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,22,22,San Lorenzo,Elián Irala,0.65,0.8,-1.0,Armando Méndez,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,27,54,Newell`s,Rodrigo Fernández,-0.56,-0.81,-1.0,Elián Irala,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,29,58,Newell`s,Franco Díaz,0.45,-0.65,-1.0,Elián Irala,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,33,31,San Lorenzo,Malcom Braida,0.5,0.76,-1.0,Francisco González,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,47,55,San Lorenzo,Agustín Giay,0.28,-0.44,-1.0,Brian Aguirre,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,46,17,Newell`s,Rodrigo Fernández,-0.35,0.58,-1.0,Elián Irala,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,47,29,Newell`s,Brian Aguirre,-0.54,0.8,-1.0,Jhohan Romaña,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,48,2,San Lorenzo,Manuel Insaurralde,0.36,-0.7,-1.0,Francisco González,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,50,8,Newell`s,Ian Glavinovich,0.08,0.52,-1.0,Adam Bareiro,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,52,20,San Lorenzo,Malcom Braida,-0.6,-0.86,-1.0,Francisco González,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,54,54,Newell`s,Juan Ignacio Ramírez,-0.3,-0.05,-1.0,Manuel Insaurralde,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,64,16,San Lorenzo,Iván Leguizamón,0.45,-0.79,-1.0,Armando Méndez,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,65,32,San Lorenzo,Adam Bareiro,0.42,0.45,-1.0,Ian Glavinovich,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,68,24,Newell`s,Rodrigo Fernández,-0.3,-0.38,-1.0,Manuel Insaurralde,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,71,59,San Lorenzo,Cristian Ferreira,0.1,-0.13,-1.0,Rodrigo Fernández,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,79,19,San Lorenzo,Adam Bareiro,-0.37,0.17,-1.0,Rodrigo Fernández,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,89,43,Newell`s,Ian Glavinovich,0.35,0.68,-1.0,Cristian Tarragona,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,94,7,San Lorenzo,Gastón Campi,0.08,-0.15,-1.0,Brian Aguirre,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,2,53,12,Newell`s,Franco Díaz,-0.76,-0.05,-1.0,Adam Bareiro,,,,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,shot,1,4,39,San Lorenzo,Iván Leguizamón,-0.7,-0.15,-1.0,Ramiro Macagno,-0.9,-0.03,0.88,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,shot,1,14,23,Newell`s,Ever Banega,0.7,0.03,-1.0,,0.99,0.04,-1.0,
03-03-2024,21:30,Newell`s,San Lorenzo,Argentina - Copa LPF 2024,Marcelo Bielsa,shot,1,18,35,Newell`s,Guillermo Balzi,0.58,-0.05,-1.0,Facundo Altamirano,0.93,0.02,0.17,
