date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,13,32,Gimnasia,Yonatan Rodríguez,-0.16,-0.41,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,13,45,Instituto,Damián Puebla,0.29,-0.45,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,13,46,Gimnasia,Rodrigo Saravia,0.23,0.2,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,18,59,Instituto,Jonás Acevedo,0.38,-0.77,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,19,25,Instituto,Jonathan Bay,0.72,0.38,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,20,36,Gimnasia,Felipe Sánchez,-0.66,0.46,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,20,41,Gimnasia,Pablo De Blasis,-0.21,0.67,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,28,21,Instituto,Brahian Cuello,-0.45,0.0,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,34,47,Gimnasia,Guillermo Enrique,-0.46,0.63,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,43,51,Gimnasia,Jonathan  Cabral,0.34,0.46,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,52,10,Instituto,Jonás Acevedo,0.06,-0.17,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,57,9,Gimnasia,Federico Milo,0.39,0.82,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,61,30,Instituto,Víctor Cabrera,-0.53,0.83,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,63,3,Gimnasia,Eric Ramírez,-0.29,-0.43,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,69,3,Instituto,Facundo Suárez,0.56,0.05,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,69,45,Instituto,Víctor Cabrera,-0.33,-0.38,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,81,46,Gimnasia,Guillermo Enrique,0.72,-0.71,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,82,42,Instituto,Jonás Acevedo,0.46,-0.73,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,91,27,Instituto,Juan José Franco,-0.36,0.41,-1.0,,,,,
29-02-2024,19:00,Gimnasia,Instituto,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,93,6,Instituto,Santiago Rodríguez,0.71,-0.86,-1.0,,,,,
