date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,0,57,Rosario Central,Tomás O'Connor,0.18,0.53,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,1,24,Huracán,Lucas Carrizo,-0.35,-0.6,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,2,31,Rosario Central,Mauricio Martínez,0.16,-0.33,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,5,12,Rosario Central,Carlos Quintana,0.37,-0.16,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,7,49,Rosario Central,Facundo Mallo,0.36,0.04,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,11,4,Rosario Central,Facundo Mallo,0.31,-0.53,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,13,48,Rosario Central,Mauricio Martínez,0.66,-0.34,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,14,3,Rosario Central,Ignacio Malcorra,0.25,-0.2,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,13,53,Huracán,Walter Mazzantti,0.88,-0.81,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,14,41,Huracán,Hernán De La Fuente,-0.63,0.76,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,15,56,Huracán,Hernán De La Fuente,0.25,0.46,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,19,9,Rosario Central,Mauricio Martínez,0.39,0.05,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,19,14,Huracán,César Ibáñez,0.2,-0.47,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,22,35,Huracán,César Ibáñez,-0.08,-0.75,-1.0,,,,,
29-02-2024,21:15,Huracán,Rosario Central,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,24,0,Rosario Central,Maximiliano Lovera,0.46,-0.68,-1.0,,,,,
