date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,8,29,Independiente Riv. (M),Gastón Gil Romero,-0.4,0.74,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,21,37,Independiente Riv. (M),Victorio Ramis,0.54,-0.79,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,31,20,Independiente Riv. (M),Matías Reali,0.28,0.46,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,33,45,Independiente Riv. (M),Juan Ignacio Cavallaro,0.19,-0.41,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,36,27,Independiente Riv. (M),Gastón Gil Romero,-0.09,-0.34,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,48,7,Barracas Central,Rodrigo Insúa,-0.68,-0.77,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,55,39,Independiente Riv. (M),Victorio Ramis,-0.46,0.5,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,57,36,Independiente Riv. (M),Luciano Abecasis,0.56,-0.75,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,58,32,Barracas Central,Facundo Mater,-0.5,0.78,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,70,5,Independiente Riv. (M),Bruno Bianchi,0.44,-0.79,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,78,54,Independiente Riv. (M),Matías Reali,-0.41,-0.69,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,81,46,Independiente Riv. (M),Tomás Palacios,0.49,0.04,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,87,17,Independiente Riv. (M),Luciano Abecasis,0.26,-0.79,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,87,37,Independiente Riv. (M),Ezequiel Ham,0.47,-0.15,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,93,42,Independiente Riv. (M),Matías Reali,-0.56,0.4,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,94,58,Independiente Riv. (M),Matías Reali,-0.4,0.15,-1.0,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,2,6,Independiente Riv. (M),Joel Soñora,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,4,4,Independiente Riv. (M),Bruno Bianchi,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,4,34,Barracas Central,Rodrigo Herrera,0.21,-0.64,-1.0,Joel Soñora,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,12,34,Independiente Riv. (M),Joel Soñora,-0.33,-0.87,-1.0,Lucas Brochero,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,15,17,Barracas Central,Alexis Domínguez,-0.59,0.74,-1.0,Bruno Bianchi,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,17,53,Barracas Central,Rodrigo Herrera,0.52,-0.41,-1.0,Matías Reali,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,21,39,Barracas Central,Nicolás Capraro,0.54,-0.86,-1.0,Victorio Ramis,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,31,43,Barracas Central,Rodrigo Insúa,0.4,0.78,-1.0,Matías Reali,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,41,47,Independiente Riv. (M),Matías Reali,0.31,-0.8,-1.0,Facundo Mater,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,44,31,Independiente Riv. (M),Victorio Ramis,0.56,0.18,-1.0,Gonzalo Goñi,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,45,48,Barracas Central,Maximiliano Zalazar,-0.96,0.48,-1.0,Luciano Abecasis,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,46,12,Barracas Central,Rodrigo Herrera,-0.25,-0.9,-1.0,Joel Soñora,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,45,22,Barracas Central,Alexis Domínguez,-0.11,0.6,-1.0,Tomás Palacios,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,47,3,Barracas Central,Facundo Mater,-0.89,0.78,-1.0,Juan Ignacio Cavallaro,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,55,49,Barracas Central,Alexis Domínguez,0.62,0.46,-1.0,Tomás Palacios,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,56,59,Independiente Riv. (M),Luciano Abecasis,0.1,-0.7,-1.0,Rodrigo Insúa,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,58,38,Independiente Riv. (M),Tobías Ostchega,-0.24,0.78,-1.0,Facundo Mater,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,67,12,Independiente Riv. (M),Sebastián Zeballos,-0.91,0.69,-1.0,Facundo Mater,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,72,44,Independiente Riv. (M),Federico Moreno,-0.21,-0.7,-1.0,Rodrigo Herrera,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,79,23,Barracas Central,Rodrigo Insúa,-0.6,-0.58,-1.0,Matías Reali,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,81,39,Barracas Central,Ramón Ábila,0.57,0.31,-1.0,Tomás Palacios,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,82,13,Barracas Central,Ramón Ábila,0.54,0.2,-1.0,Tomás Palacios,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,86,24,Independiente Riv. (M),Matías Reali,-0.74,-0.62,-1.0,Manuel Duarte,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,90,50,Independiente Riv. (M),Federico Castro,-0.66,0.09,-1.0,Nicolás Capraro,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,1,10,41,Barracas Central,Siro Rosané,-0.52,-0.34,-1.0,,-1.0,-0.21,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,1,17,3,Independiente Riv. (M),Juan Ignacio Cavallaro,0.87,-0.26,-1.0,,0.98,-0.15,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,1,25,7,Barracas Central,Facundo Mater,-0.79,-0.31,-1.0,,-0.99,-0.06,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,1,28,23,Independiente Riv. (M),Matías Reali,0.61,0.23,-1.0,,0.99,0.21,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,1,35,51,Independiente Riv. (M),Juan Ignacio Cavallaro,0.54,-0.09,-1.0,,0.99,0.08,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,1,42,31,Barracas Central,Maximiliano Zalazar,-0.75,0.28,-1.0,,-1.0,-0.08,0.94,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,48,24,Barracas Central,Alan Cantero,0.74,-0.35,-1.0,,0.99,-0.07,0.2,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,50,17,Independiente Riv. (M),Juan Manuel Vázquez,-0.81,0.1,-1.0,,-0.99,0.17,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,52,59,Independiente Riv. (M),Juan Ignacio Cavallaro,-0.95,-0.09,-1.0,,-1.0,-0.07,0.76,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,60,0,Independiente Riv. (M),Juan Ignacio Cavallaro,-0.63,0.01,-1.0,Rodrigo Herrera,-0.72,-0.06,0.2,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,61,15,Barracas Central,Nicolás Capraro,0.79,-0.07,-1.0,,0.98,-0.05,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,65,33,Independiente Riv. (M),Matías Reali,-0.98,-0.6,-1.0,,-0.99,-0.22,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,68,2,Barracas Central,Alan Cantero,0.81,0.06,-1.0,,0.98,0.0,0.1,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,75,8,Barracas Central,Ramón Ábila,0.71,0.34,-1.0,,0.98,-0.18,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,80,42,Independiente Riv. (M),Matías Reali,-0.63,-0.44,-1.0,,-0.99,0.2,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,90,1,Independiente Riv. (M),Ezequiel Ham,-0.45,-0.16,-1.0,Carlos Arce,-0.66,0.0,0.14,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,92,17,Barracas Central,Ramón Ábila,0.88,-0.35,-1.0,Gonzalo Marinelli,0.94,-0.17,0.27,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,92,57,Independiente Riv. (M),Juan Manuel Vázquez,-0.53,0.16,-1.0,,-1.0,-0.15,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,94,9,Independiente Riv. (M),Sebastián Zeballos,-0.85,0.35,-1.0,,-0.99,0.16,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,95,13,Independiente Riv. (M),Matías Reali,-0.54,0.0,-1.0,Carlos Arce,-0.66,-0.05,0.12,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,shot,2,95,29,Independiente Riv. (M),Federico Moreno,-0.64,-0.01,-1.0,,-1.0,-0.02,0.99,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,1,55,Independiente Riv. (M),Gonzalo Marinelli,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,11,4,Independiente Riv. (M),Gonzalo Marinelli,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,17,27,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,25,36,Independiente Riv. (M),Gonzalo Marinelli,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,27,45,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,28,52,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,30,44,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,35,23,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,1,36,21,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,46,20,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,50,33,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,64,34,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,65,50,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,72,29,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,75,19,Independiente Riv. (M),Gonzalo Marinelli,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,81,19,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,93,24,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,goal_kick,2,94,40,Barracas Central,Sebastián Moyano,,,,,,,,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,0,20,Independiente Riv. (M),Luciano Abecasis,0.21,0.93,-1.0,,0.61,0.82,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,1,21,Barracas Central,Facundo Mater,-0.58,-0.98,-1.0,,-0.8,-0.5,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,3,51,Independiente Riv. (M),Luciano Abecasis,0.57,0.94,-1.0,,0.73,0.42,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,8,15,Barracas Central,Rodrigo Insúa,0.23,0.94,-1.0,,-0.26,0.86,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,9,40,Independiente Riv. (M),Luciano Abecasis,0.15,-0.99,-1.0,,-0.17,-0.86,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,12,17,Independiente Riv. (M),Luciano Abecasis,0.19,-0.95,-1.0,,-0.04,-0.78,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,29,52,Independiente Riv. (M),Luciano Abecasis,0.01,0.92,-1.0,,0.24,0.87,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,37,20,Barracas Central,Facundo Mater,0.39,-0.98,-1.0,,-0.05,-0.86,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,1,38,7,Independiente Riv. (M),Tobías Ostchega,0.42,-0.98,-1.0,,0.32,-0.85,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,2,56,38,Barracas Central,Facundo Mater,-0.62,0.92,-1.0,,-0.73,0.83,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,2,66,57,Independiente Riv. (M),Tobías Ostchega,-0.59,0.93,-1.0,,-0.59,0.66,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,2,69,53,Barracas Central,Rodrigo Insúa,-0.63,-0.95,-1.0,,-0.49,-0.78,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,throw_in,2,88,51,Barracas Central,Facundo Mater,0.15,0.98,-1.0,,-0.14,0.82,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,yellow,1,19,3,Barracas Central,Rodrigo Herrera,,,,,,,,Sujetar al rival para impedirle avanzar
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,yellow,1,21,46,Barracas Central,Nicolás Capraro,,,,,,,,Sujetar al rival para impedirle avanzar
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,yellow,1,44,0,Independiente Riv. (M),Bruno Bianchi,,,,,,,,Insultar o desaprobar al árbitro
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,yellow,2,49,36,Independiente Riv. (M),Tomás Palacios,,,,,,,,Insultar o desaprobar al árbitro
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,yellow,2,62,15,Independiente Riv. (M),Victorio Ramis,,,,,,,,Discutir con un rival
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,yellow,2,62,23,Barracas Central,Gonzalo Goñi,,,,,,,,Discutir con un rival
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,red,2,75,45,Barracas Central,Jhonatan Candia,,,,,,,,Juego brusco grave
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,0,4,Barracas Central,Alexis Domínguez,0.01,-0.01,-1.0,Rodrigo Herrera,0.45,-0.15,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,0,6,Barracas Central,Rodrigo Herrera,0.49,-0.11,-1.0,Siro Rosané,0.44,0.2,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,0,8,Barracas Central,Siro Rosané,0.5,0.23,-1.0,Rodrigo Insúa,0.34,0.77,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,0,55,Independiente Riv. (M),Joel Soñora,-0.1,0.74,-1.0,Ezequiel Ham,0.05,0.46,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,0,56,Barracas Central,Siro Rosané,0.31,0.51,-1.0,Facundo Mater,0.08,-0.56,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,1,0,Barracas Central,Facundo Mater,-0.2,-0.41,-1.0,Lucas Brochero,-0.49,-0.74,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,25,Independiente Riv. (M),Bruno Bianchi,-0.35,0.5,-1.0,Ezequiel Ham,0.06,0.53,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,29,Independiente Riv. (M),Ezequiel Ham,0.04,0.55,-1.0,Gastón Gil Romero,-0.12,0.32,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,31,Independiente Riv. (M),Gastón Gil Romero,-0.18,0.32,-1.0,Victorio Ramis,0.24,0.26,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,33,Independiente Riv. (M),Victorio Ramis,0.19,0.3,-1.0,Ezequiel Ham,-0.21,0.41,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,16,Barracas Central,Nicolás Capraro,0.47,-0.46,-1.0,Gonzalo Goñi,0.54,0.15,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,21,Barracas Central,Gonzalo Goñi,0.55,0.2,-1.0,Rodrigo Insúa,0.44,0.7,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,37,Independiente Riv. (M),Ezequiel Ham,-0.27,0.22,-1.0,Joel Soñora,0.02,-0.08,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,45,Independiente Riv. (M),Joel Soñora,-0.28,0.14,-1.0,Bruno Bianchi,-0.47,0.47,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,2,57,Independiente Riv. (M),Bruno Bianchi,-0.24,0.73,-1.0,Victorio Ramis,0.26,0.3,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,4,0,Barracas Central,Lucas Brochero,0.49,0.72,-1.0,Rodrigo Insúa,0.71,0.62,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,4,4,Barracas Central,Rodrigo Insúa,0.64,0.67,-1.0,Rodrigo Herrera,0.07,0.56,-1.0,
29-02-2024,21:15,Independiente Riv. (M),Barracas Central,Argentina - Copa LPF 2024,Bautista Gargantini,completed_pass,1,4,28,Independiente Riv. (M),Ezequiel Ham,-0.25,0.05,-1.0,Gastón Gil Romero,-0.04,-0.34,-1.0,
