date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,2,1,Huracán,Hernán De La Fuente,0.28,-0.76,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,3,44,Instituto,Roberto Bochi,-0.37,0.58,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,8,28,Huracán,Lucas Carrizo,0.71,0.71,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,9,19,Huracán,Héctor Fértoli,0.46,0.75,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,13,6,Huracán,Hernán De La Fuente,-0.15,-0.7,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,14,31,Huracán,Fernando Tobio,0.44,-0.47,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,14,53,Huracán,Lucas Carrizo,0.59,-0.28,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,26,53,Huracán,Rodrigo Echeverría,0.32,-0.31,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,30,8,Huracán,Héctor Fértoli,0.34,0.19,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,37,36,Instituto,Brahian Cuello,-0.54,-0.71,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,37,37,Huracán,Alan Soñora,-0.3,-0.75,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,41,35,Instituto,Damián Puebla,0.51,-0.71,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,43,0,Instituto,Jonás Acevedo,-0.57,0.84,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,46,9,Instituto,Roberto Bochi,-0.12,-0.41,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,57,5,Huracán,Rodrigo Echeverría,-0.45,-0.52,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,62,36,Huracán,Rodrigo Echeverría,-0.2,0.58,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,63,30,Huracán,César Ibáñez,-0.84,-0.76,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,68,7,Instituto,Brahian Cuello,0.16,0.73,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,79,4,Instituto,Jonathan Bay,0.55,0.74,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,80,44,Instituto,Santiago Rodríguez,0.06,-0.48,-1.0,,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,2,15,Huracán,Rodrigo Echeverría,0.29,-0.42,-1.0,Damián Puebla,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,4,50,Instituto,Brahian Cuello,-0.02,-0.6,-1.0,Walter Mazzantti,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,11,3,Huracán,Fernando Tobio,0.1,0.04,-1.0,Facundo Suárez,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,11,44,Instituto,Damián Puebla,0.72,-0.71,-1.0,Walter Mazzantti,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,16,24,Instituto,Facundo Suárez,0.28,-0.62,-1.0,Ignacio Pussetto,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,17,33,Huracán,Héctor Fértoli,-0.56,0.76,-1.0,Juan José Franco,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,23,26,Instituto,Brahian Cuello,0.27,0.01,-1.0,Rodrigo Echeverría,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,28,7,Huracán,Lucas Carrizo,0.42,0.62,-1.0,Damián Puebla,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,32,50,Instituto,Jonás Acevedo,0.17,-0.5,-1.0,Walter Mazzantti,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,34,53,Instituto,Facundo Suárez,0.56,0.6,-1.0,César Ibáñez,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,35,46,Huracán,César Ibáñez,-0.42,0.57,-1.0,Juan José Franco,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,1,43,4,Huracán,Walter Mazzantti,-0.5,0.79,-1.0,Jonás Acevedo,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,2,45,51,Instituto,Facundo Suárez,-0.08,0.38,-1.0,Ignacio Pussetto,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,2,48,27,Huracán,Hernán De La Fuente,-0.56,0.71,-1.0,Brahian Cuello,,,,
04-03-2024,21:00,Instituto,Huracán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,foul,2,59,12,Instituto,Jonás Acevedo,-0.28,0.37,-1.0,Rodrigo Echeverría,,,,
