date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,2,55,Independiente,Gabriel Neves,0.32,0.39,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,3,49,Independiente,Julio Buffarini,0.04,-0.78,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,7,45,Independiente,Iván Marcone,0.19,0.24,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,8,45,Independiente,Julio Buffarini,-0.24,-0.39,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,10,21,Independiente,Joaquín Laso,0.77,0.55,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,11,38,Independiente,Matías Giménez,-0.54,0.29,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,12,33,Independiente,Felipe Aguilar,0.79,-0.59,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,14,30,Barracas Central,Gonzalo Goñi,-0.9,0.42,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,15,13,Independiente,Ignacio Maestro Puch,-0.46,0.2,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,19,43,Barracas Central,Rodrigo Herrera,-0.25,0.13,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,23,56,Independiente,Iván Marcone,0.75,-0.65,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,24,47,Independiente,Lucas González,0.12,0.46,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,24,46,Barracas Central,Alan Cantero,0.02,0.36,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,31,5,Independiente,Damián Pérez,0.4,0.8,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,32,48,Independiente,Joaquín Laso,0.61,0.57,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,35,17,Barracas Central,Rodrigo Insúa,-0.53,-0.42,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,42,51,Independiente,Julio Buffarini,0.31,-0.54,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,43,18,Independiente,Julio Buffarini,0.24,-0.19,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,46,31,Independiente,Alex Luna,0.38,-0.72,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,49,45,Independiente,Gabriel Neves,0.14,0.37,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,54,0,Independiente,Felipe Aguilar,0.06,0.13,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,54,38,Independiente,Joaquín Laso,-0.35,-0.83,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,64,1,Independiente,Federico Mancuello,-0.37,-0.75,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,68,4,Independiente,Lucas González,-0.01,0.76,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,74,59,Independiente,Damián Pérez,0.44,-0.5,-1.0,,,,,
05-03-2024,19:00,Barracas Central,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,75,43,Independiente,Damián Pérez,-0.66,-0.42,-1.0,,,,,
