date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,10,11,Sarmiento,Franco Paredes,0.14,-0.33,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,10,27,Sarmiento,Diego Calcaterra,-0.24,-0.08,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,13,40,Racing Club,Nazareno Colombo,-0.29,0.43,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,16,36,Sarmiento,Joaquín Gho,-0.2,-0.08,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,17,19,Sarmiento,Franco Paredes,0.49,-0.2,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,18,53,Sarmiento,Yair Arismendi,0.15,-0.05,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,22,19,Racing Club,Gabriel Rojas,0.64,-0.84,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,22,53,Racing Club,Santiago Sosa,-0.43,-0.09,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,27,4,Sarmiento,Diego Calcaterra,0.16,-0.2,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,30,10,Sarmiento,Franco Paredes,0.29,-0.4,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,37,38,Sarmiento,Diego Calcaterra,-0.34,-0.31,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,1,47,3,Racing Club,Agustín García Basso,0.06,0.05,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,47,27,Sarmiento,Fernando Godoy,-0.36,0.05,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,54,54,Sarmiento,Fernando Godoy,-0.67,-0.36,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,57,12,Racing Club,Juan Ignacio Nardoni,0.71,0.92,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,62,12,Racing Club,Facundo Mura,0.05,0.69,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,62,10,Sarmiento,Fernando Godoy,-0.42,-0.21,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,86,12,Sarmiento,Franco Paredes,-0.71,0.6,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,91,18,Racing Club,Agustín García Basso,-0.2,0.79,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,steal,2,95,30,Sarmiento,Franco Paredes,-0.79,0.21,-1.0,,,,,
05-03-2024,20:00,Racing Club,Sarmiento,Argentina - Copa LPF 2024,Presidente Perón,foul,1,4,40,Sarmiento,Fernando Godoy,0.19,0.22,-1.0,Juan Fernando Quintero,,,,
